Model no.	Breast cancer type	Disease area	Disease features	Category	Type	Cells	Source	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	DOI or link	First author name	Year
674	BC	BC	Angiogenesis	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231, BT20 , ZR-75-1	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	exosome small RNA content, let-7a, miR-21, miR-23b, miR-27b,  miR-320b, secreted VEGF, tube formation, Rab27A	Medium	Yes	Direct	10.1186/s12943-015-0400-7	Hannafon, Bethany N.	2015
675	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells/Ex vivo	Immortalised cells	MDA-MB-453, CAFs	Co-culture	2D	n/a	Biopsies	Disease mechanism (exp./theor.)	Cytokines profile, 17βHSD2, 17βHSD5,  5α-Reductase1. IL-6 and HGF, correlation, α-SMA	Low	Yes	Supportive	10.1007/s10549-017-4464-5	Kikuchi, Kyoko	2017
676	BC	BC	Pharmacological/Physical Treatment; Metastasis	In vitro	Cells	Immortalised cells	HCC38, HCC70, HCC1143, HCC1187, HCC1008, HCC1937, MDA-MB-231, MDA-MB468, BT20, BT549, Hs578t, MDA-MB157, MDA-MB-436, SUM102, SUM149, MCF7, BT474, BTH474, SKBr3	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	CTNNB1, APC and DVL1, beta-catenin, migration, cytoskeletal structure, lamelipodia/filopodia, cytotoxicity	Low	Yes	Supportive	10.18632/oncotarget.8988	De, Pradip	2016
677	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	BT474, SK-BR-3, SUM149 , SUM159	Culture	2.5D/3D	Spheroids	n/a	Drug develop./testing	ALDH, CD44, CD24, cytotoxicity, ROS, p38 MAPK	Low	Yes	Direct	10.3892/or.2018.6337	Lin, Chang-Ching	2018
680	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	Methylation profile, correlation	Low	Yes	Direct	10.1186/s13058-014-0423-9	Pang, Jia-Min B.	2014
681	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231, MDA-MB-468, SW480	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	MACC1, correlation, c-Met, HGF	Low	Yes	Supportive	10.3892/ijo.2015.2907	Sueta, Aiko	2015
682	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	nanoparticle uptake, cytotoxicity	Low	Yes	Supportive	10.1016/j.colsurfb.2018.06.056	Cacicedo, M. L.	2018
683	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	mir-520e, cell migration, proliferation, apoptosis	Medium	Yes	Supportive	10.3892/ol.2016.5085	Yi, Ming	2016
684	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7, Hs578t , MDA-MB-231	Culture	2.5D	n/a	n/a	Drug develop./testing	microRNA-205, ZEB1, migration, invasion, cytotoxicity, EMT	Low	Yes	Supportive	10.1016/j.jnutbio.2015.01.005	Su, Chih-Ming	2015
685	IBC	IBC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	SUM149 , SUM159	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	mir-33a, HDL-induced radiation sensitivity	Low	Yes	Supportive	10.1016/j.ijrobp.2016.01.025	Wolfe, Adam R.	2016
687	BC	BC	Anti-cancer drug delivery system	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, apoptosis	Low	Yes	Direct	10.1016/j.ijpharm.2018.10.001	Roointan, Amir	2018
689	BC	BC	Metastasis	In vitro	Cells	Immortalised cells	MDA‐MB‐231Br	Culture	3D	Scaffolds	n/a	Disease mechanism (exp./theor.)	cell adhesion, spreading, proliferation,  migration	Low	Yes	Direct	10.1002/jbm.a.36379	Narkhede, Akshay A.	2018
691	BC	BC	Pharmacological/Physical Treatment	In vitro	Cell free	n/a	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp./theor.)	MASTL, cell proliferation, DNA damage signaling, cell death	Low	Yes	Supportive	10.18632/oncotarget.2565	Wang, Ling	2014
692	BC	BC	Anti-cancer drug delivery system	In vitro	Cells	Immortalised cells	MCF‐7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1002/jbm.a.36096	Saeednia, Leyla	2017
695	BC	BC	Patient stratification	In silico	Algorithms	n/a	BC	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	collagen-I/fibronectin, correlation, live-fluorescent biomarker	Medium	Yes	Supportive	10.1038/s41551-018-0285-z	Manak, Michael S.	2018
696	BC	BC	Metastasis	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	miR-219a-5p, cell migration, myocardin-related transcription factor A, Vimentin, E-Cadherin, N-Cadherin, viability, MRTF-A, EMT	Medium	Yes	Direct	10.1093/abbs/gmx114	Zhuang, Chunyu	2017
697	BC	BC	Cancer Initiation and Development	In vitro	Cell free	n/a	SKBR3	n/a	n/a	n/a	n/a	Disease mechanism (exp./theor.)	ERBB2/neu/Her2 in cell lysates	Low	Yes	Direct	10.1016/j.bios.2017.02.012	Sinibaldi, Alberto	2017
698	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	CCND2, cell proliferation, migration, cytotoxicity	Medium	Yes	Direct	10.3390/ijms19103096	Hung, Chin-Sheng	2018
700	BC	BC	Metastasis	In vitro	Cells	Immortalised cells	MDA‐MB‐231	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	P38 MAPK, metabolomic profile, proliferation, migration, apoptosis	Low	Yes	Direct	10.1016/j.biocel.2018.11.002	Chen, Hongshen	2019
701	BC	BC	Patient stratification	In vitro	Cells	Immortalised cells	MCF7, 47D, ZR75-1,	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	TK1, correlation	Medium	Yes	Direct	10.18632/oncotarget.24700	Bonechi, Martina	2018
703	BC	BC	Drug Discovery and/or Testing	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7, T47D	Culture	3D	Spheroids	n/a	Drug develop./testing	NFκB, cytotoxicity, P65, IKKalpha, IKKbeta, ICAM, CCL2, TNF, CD44, CD24	Low	Yes	Supportive	10.1186/s12885-015-1868-7	Kastrati, Irida	2015
704	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	CDK4, SMAD3, Survivin, cell proliferation, cytotoxicity, apoptosis	Medium	Yes	Direct	10.4161/cbt.29693	Tarasewicz, Elizabeth	2014
709	BC	BC	Patient stratification	In vitro	Ex vivo	n/a	liquid biopsy	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	HER2 abnormalities in circulating tumor cells, correlation	Low	Yes	Direct	10.1007/s10549-016-3969-7	Hainsworth, John D.	2016
711	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	XCR4/NF-κB/Smo, viability, apoptosis, migration cytotoxicity	Low	Yes	Direct	10.1007/s11033-017-4115-2	Mahjoub, Mohammad Amin	2017
713	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	MiR-155, proliferation, migration, SOCS1, MMP16	Low	Yes	Direct	10.26355/eurrev_201811_16269	Zhang, W	2018
717	BC	BC	Patient stratification	In silico	Simulation	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(exp.)	spectral mammography	Low	Yes	Direct	10.1002/mp.12230	Ghammraoui, Bahaa	2017
718	IBC/BC	IBC/BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	SUM149, MDA-MB-231 , SUM159	Culture	3D	Spheroids	n/a	Drug develop./testing	GLI1, proliferation, emboli formation	Low	Yes	Direct	10.1016/j.canlet.2017.09.033	Oladapo, Helen O.	2017
719	BC	BC	Cancer landscape	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	somatic copy number alterations and loss of heterozygosity	Low	Yes	Direct	10.1093/bioinformatics/btu174	Li, Yi	2014
723	BC	BC	Tumor Landscape	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	DNA sequences	Low	Yes	Direct	10.1093/annonc/mdx517	Dang, H. X.	2017
724	BC	BC	Patient stratification	In silico	Algorithms	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	age, ER status, tumor grade, tumor size, number of positive lymph nodes, presentation,  type of adjuvant therapy 	Low	Yes	Direct	10.1158/1078-0432.CCR-17-3542	Karapanagiotis, Solon	2018
725	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	PD-1/PD-L1, correlation, CNVs, mutation load	Low	Yes	Direct	10.1186/s13058-018-1004-0	Barrett, Michael T.	2018
727	BC	BC	Cancer Initiation and Development; Patient Stratification	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	tumor-infiltrating lymphocytes (TIL), correlation	Low	Yes	Direct	10.1038/modpathol.2017.43	Buisseret, Laurence	2017
729	BC	BC	Metastasis; Patient Stratification	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	breast osteoblast-like cells (BOLCs) counting, BMP-2/4 and PTX3, RANKL and Vitamin D receptor	Low	Yes	Direct	10.1016/j.clbc.2017.11.020	Scimeca, Manuel	2018
730	BC	BC	Tumor Detection and Classification	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Biopsies organ slice	Disease mechanism (exp./theor.)	ER, HER2, PR, Ki-67, correlation	Low	Yes	Direct	10.1309/AJCP9KFVM2GZMNDV	Petrau, Camille	2015
731	BC	BC	Tumor Detection and Classification	In vitro	Cell free	n/a	liquid biopsy	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.); Model/method develop. (exp.)	Genome-wide DNA profile, correlation	Low	Yes	Direct	10.1093/annonc/mdu288	Rothe, F.	2014
732	BC	BC	Patient stratification	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Organ slice	Model/method develop.(exp.)	HER2 	Low	Yes	Direct	10.1371/journal.pone.0123201	van der Logt, Elise M. J.	2015
733	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	estrogen receptor (ER), progesterone receptor (PR), HER2,  Ki-67, ESR1, PGR, ERBB2,  MKI67	Low	Yes	Supportive	10.18632/oncotarget.18006	Stefanovic, Stefan	2017
734	BC	BC	Pharmacological/Physical Treatment; Metastasis	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7	Culture	2.5D/3D	Spheroids	n/a	Drug develop./testing	morphology, CD44, CD24, cytotoxicity, migration, invasion, EMT	Medium	Yes	Supportive	10.1371/journal.pone.0150407	Goncalves, Naiane do Nascimento	2016
735	BC	BC	Pharmacological/Physical Treatment; Metastasis	In vitro	Cells	Immortalised cells	MDA-MB-231BO	Culture	2.5D	n/a	n/a	Drug develop./testing	cell invasion, cytotoxicity, CCL5 and IL-17B 	Low	Yes	Direct	10.1016/j.jep.2014.12.036	Han, Xiang-hui	2015
738	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	MCF‐7, MDA‐MB‐231	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	miR‐99a, morphology, cell migration, invasion, HIF‐1α, PI3K/AKT	High	Yes	Supportive	10.1111/cpr.12146	Yang, Z.	2014
739	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	SUM149PT, SUM159PT, SUM1315MO2, BT549, Hs578T, MCF7,SUM102PT, SUM225CWN	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	ADAM12, cytotoxicity, CD44, CD24, genome-wide RNA profile, EGFR pathway, correlation	Medium	Yes	Direct	10.1186/s12943-017-0599-6	Duhachek-Muggy, Sara	2017
740	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Medium	Yes	Direct	10.1186/s12885-017-3514-z	Alileche, Abdelkrim	2017
741	BC	BC	Cancer Initiation and Development	In vitro	Cells/Ex vivo	Immortalised cells/Primary cell culture	BT549, MDA-MB-453, MDA-MB435, SKBR3, Bcap37, MCF7, ZR-75-30, T47D/ BC	Culture	2.5D/3D	Spheroids	Organ slice	Disease mechanism (exp./theor.)	TIMELESS, MYC, correlation, migration, invasion, CD44, CD24	Medium	Yes	Direct	10.1186/s13058-017-0838-1	Chi, Limin	2017
742	BC	BC	Pharmacokinetic study	In vitro/In silico	Cells/Computational	Immortalised cells	MDA-MB-468	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	cell count, proliferation rate	Medium	Yes	Direct	10.1007/s10439-018-2001-2	McKenna, Matthew T.	2018
743	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells/Ex vivo	Immortalised cells	MCF10DCIS.com (DCIS.com) , SUM225, BC	Culture	2.5D/3D	Spheroids	Biopsies	Disease mechanism (exp./theor.)	FAK, viability, cytotoxicity	Medium	Yes	Direct	10.1002/stem.1843	Williams, Kathryn E.	2015
744	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	MDA-MB-231 , MCF7	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	PTPRD, CD44, CD24, morphology, migration, Vimentin, E-Cadherin, IL-6/STAT3 ,ALDH1, OCT4, EMT	Low	Yes	Direct	10.18632/oncotarget.22000	Yu, Xiaotang	2017
746	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231	Co-culture/MPS	3D	Scaffolds	n/a	Model/method develop.(exp.)	cell dormancy, EdU, protein profiling, proliferation	Low	Yes	Direct	10.1074/mcp.RA117.000370	Clark, Amanda M.	2018
748	BC	BC	Cancer Initiation and Development	In vitro	Cells	Primary cell culture	BC	Culture	2D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	CD24, CD44, CA9, HIF1α, metabolic activity, extracellular O2 consumption	Medium	Yes	Direct	10.1590/1414-431x20176538	Wanandi, S.I.	2017
749	BC	BC	Cancer stem cells	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	IKKε, TNF/NF-κB, CD44, CD24, ALDH1A3, NANOG,  KLF4, viability	Medium	Yes	Direct	10.1016/j.bbamcr.2019.01.002	Orlova, Zhanna	2019
750	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231 , MCF7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	miRNA-106a, Cell Proliferation, Clonogenicity, Migration, Invasion, Apoptosis and Chemosensitivity, p53, Bax, Bcl-2, RUNX3,  ABCG2	Medium	Yes	Supportive	10.1089/dna.2018.4282	You, Faping	2019
753	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231 , ZR75-1	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	microRNA-206, TBX3, correlation, cell proliferation, apoptosis, invasion, viability	Medium	Yes	Direct	10.1038/bjc.2016.73	Amir, Sumaira	2016
754	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7, T47D, MDA-MB-231	Culture	2.5D/3D	Spheroids	n/a	Drug develop./testing	Notch1 and PI3K/Akt signaling pathways, migration, cytotoxicity, invasion, colony formation	Medium	Yes	Direct	10.3892/ijmm.2018.3741	Cao, Longbin	2018
756	BC	BC	Metastasis	In vitro	Cells/Ex vivo	Immortalised cells	MDA-MB-231, MCF7, MDA-MB-436, T47D, MCF10A, BC	Culture	2D	n/a	Biopsies	Disease mechanism (exp./theor.)	Long non-coding RNA TUG1, proliferation, migration, invasion	Medium	Yes	Supportive	10.1007/s12282-016-0736-x	Li, Teng	2017
758	BC	BC	Metastasis	In vitro	Cells/Ex vivo	Immortalised cells	MCF7, BC	Culture	2.5D/3D	Spheroids	Biopsies	Disease mechanism (exp./theor.)	MicroRNA‐34a, NOTCH1, proliferation, migration, colony formation, correlation, CD44, ALDH1, PTX, cytotoxicity	High Medium	Yes	Direct	10.1111/cas.12656	Kang, Le	2015
759	BC	BC	Metastasis	In vitro	Cells	Primary cell culture	BC	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	ALDH, CD44, CD24, invasion, migration, colony formation, OCT4, HIF‐1α	High	Yes	Supportive	10.1111/cas.13147	Shiraishi, Akira	2017
760	BC	BC	Cancer stem cells; Metastasis	In vitro	Cells	Immortalised cells	SUM159PT	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	miR205, VEGF-A, ErbB3, ZEB1, Fyn, Lyn A/B, P27, PARP. MYC, cyclin D1, CD44, TWIST, SNAIL, TAZ, E2A.E12, migration, invasion, EMT	Low	Yes	Direct	10.1371/journal.pone.0188637	Mayoral-Varo, Vitor	2017
761	BC	BC	Cancer stem cells	In vitro	Cells	Immortalised cells/Stem-cell like	BT474, Hs578T, MDA-MD-468,	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	GPNMB, OX2, NANOG, OCT4, CD44, CD133,  FOXO3, SNAIL, SLUG, ZEB1, ZEB2, CD44, CD24, EMT	Low	Yes	Supportive	10.1158/0008-5472.CAN-18-0599	Chen, Chen	2018
762	BC	BC	Metastasis	In vitro	Cells	Immortalised cells	MDA-MB-231, MDA-MB-436, BT549, SKBR3, ZR75-1, HCC1954	Culture/Co-culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	Osteoprotegerin, IL1B, p38 and p42/44 MAPK signaling pathway, invasion	Medium	Yes	Direct	10.1186/s12943-017-0606-y	Chung, Stephanie Tsang Mui	2017
766	BC	BC	Metastasis	In vitro	Cells	Immortalised cells	MDA‐MB‐231, T47D	Co-culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	TIMP‐1 and TIMP‐2, invasion, migration, secreted MMPs 	Low	Yes	Supportive	10.1002/mc.22178	Clarke, Mitchell R.	2015
767	BC	BC	Anti-cancer drug delivery system	In vitro/In silico	Cells/Computational	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	10.3390/ijms19092612	Ismail, Eman H.	2018
769	BC	BC	Pharmacological/Physical Treatment	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Drug develop./testing	disease burden	Low	Yes	Direct	10.1016/j.cma.2016.08.024	Weis, Jared A.	2017
771	BC	BC	Pharmacological/Physical Treatment; Metastasis	In vitro	Cells	Immortalised cells	SKBR3, BT549, MDA-MB-231, MCF7 , MDA-MB-453	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	FUNDC1, viability, NFATC1, migration, BMi1, correlation	Medium	Yes	Supportive	10.1016/j.ebiom.2019.02.032	Wu, Lianpin	2019
772	BC	BC	Pharmacological/Physical Treatment; Metastasis	In vitro	Cells	Immortalised cells	MCF7	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	Nicastrin, Notch4, vimentin, CD44, IQGAP1, RAC1, CDC42, SNAIL, TWIST, ZEB2 and mir200c, cytotoxicity, E-Cadherin, EMT	Medium	Yes	Direct	10.1186/bcr3675	Lombardo, Ylenia	2014
777	BC	BC	Cancer Initiation and Development	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Drug develop./testing	Estrogen-related receptor α	Low	Yes	Direct	10.1016/j.comtox.2019.01.005	Klimenko, K.	2019
778	BC	BC	Anti-cancer drug delivery system	In vitro	Cells	Immortalised cells	MCF7	Culture	2.5D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1021/acsomega.8b01691	Kouser, Rabia	2018
781	BC	BC	Immunotherapy	In vitro	Cell free	n/a	HCC1500	n/a	n/a	n/a	n/a	Drug develop./testing	NK cell activating receptors (NKp30, NKp44, NKp46, 2b4, CD16, NKG2D), cytokine production, NK CD107a	Low	Yes	Supportive	10.1093/bja/aeu200	Buckley, A.	2014
782	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231, HMEC-1	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	TGF-beta, invasion, ERK1/2, migration, angiogenesis	Medium	Yes	Direct	https://europepmc.org/article/med/25555875	Wang, XG	2014
783	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF‐7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	UCH‐L1, invasion, Akt signaling pathway	Low	Yes	Direct	10.1002/jcb.26232	Luo, Yanhong	2018
784	BC	BC	Metastasis	In vitro	Cells	Immortalised cells	MDA‑MB‑231	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	JWA, proliferation, migration, invasion, apoptosis, p38	Medium	Yes	Supportive	10.3892/mmr.2015.3188	Chen, Xiang	2015
785	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BRC-17, BRC-31, BRC-32, BRC-36, BRC-196	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	Integrin-uPAR, FRA-1 phosphorylation, invasion, FAK, E-cadherin (cdh1), cytokeratin-8 (krt8)) and mesenchymal (N-cadherin (cdh2), fibronectin (fn1) and vimentin (vim), RNA profile, ERK2, Vitronectin, correlation 	Medium	Yes	Supportive	10.1186/s13058-018-0936-8	Annis, Matthew G.	2018
786	BC	BC	Pharmacological/Physical Treatment; Metastasis	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2.5D	n/a	n/a	Drug develop./testing	PTHrP pathway, cytotoxicity	Medium	Yes	Supportive	10.3892/ijmm.2018.3515	Zheng, Xiao	2018
787	BC	BC	Pharmacological/Physical Treatment; Cancer Stem Cells	In vitro	Cells	Immortalised cells	MCF‐7	Culture	3D	Spheroids	n/a	Drug develop./testing	viability, cytotoxicity, Caspase-7, caspase-8,  caspase-9, nuclear factor kappa B (NF-κB) activity, CD44, CD24	Low	Yes	Direct	10.2147/DDDT.S72127	Ahmadipour, Fatemeh	2015
788	BC	BC	Metastasis	In vitro/In silico	Cells/Algorithms	Immortalised cells	MDA-MB-231, MDA-MB-468, T47D, MCF7,	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	MiR-224, Caspase-9, proliferation, migration, invasion, apoptosis, Caspase-3/7 Activation	Medium	Yes	Direct	10.1155/2019/7378967	Zhang, Li	2019
789	BC	BC	Cancer Initiation and Development	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(exp.)	ADLH, metabolic and transcriptomic profile	Low	Yes	Direct	10.1109/CONCAPAN.2016.7942349	Edwin, B.-V.	2017
791	BC	BC	Metastasis	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7, MDA-MB-231	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	mir-29a, migration, invasion, H4K20, SUV420H2, CD44, CD24, morphology	Low	Yes	Direct	10.1038/s41419-019-1437-0	Wu, You	2019
792	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7, MDA-MB-231	Culture	3D	Organoids	n/a	Disease mechanism (exp./theor.)	mir-142, mir-150, APC, AGO, WNT signaling pathway, morphology, cell proliferation, Annexin V, number of cell branches, 	Medium	Yes	Supportive	10.7554/eLife.01977	Isobe, Taichi	2014
794	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	Runx2, secreted IL-12 and IFN-γ in T cells, morphology, cytotoxicity	Medium	Yes	Direct	10.3892/ol.2018.9001	Tang, Mi	2018
795	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	ERE, cell proliferation, ERα and ERβ, cytotoxicity	Low	Yes	Direct	10.1016/j.bbrc.2014.06.130	Payton-Stewart, Florastina	2014
797	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT20, SUM149	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	P-Cadherin, HIF-1α, GLUT1, CAIX, MCT1, MCT4 and CD147	Low	Yes	Supportive	10.1186/1471-2407-14-734	Sousa, Barbara	2014
798	BC	BC	Tumor Detection and Classification	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7 , MCF10A	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	CD44, CD24	Low	Yes	Direct	10.3233/CBM-140450	Lu, Min	2015
799	BC	BC	Cell culture strategy	In vitro	Cells	Primary cell culture	BC	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	CD44, CD24, ALDH, morphology, CNV, P24, EMT	High	Yes	Direct	10.1371/journal.pone.0175223	Tiran, Verena	2017
800	BC	BC	Cell culture strategy	In vitro	Cells	Immortalised cells	MCF7	Culture	2.5D	n/a	n/a	Model/method develop.(exp.)	viability	Low	Yes	Direct	10.1039/c3lc51247a	Liu, Na	2014
801	BC	BC	Cell culture strategy	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	morphology, P-gp and BCRP	High	Yes	Direct	10.4238/2015.March.27.20	Dong, Y.	2015
802	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, RAS, E-Cadherin, ERK, AKT	Low	Yes	Direct	10.1371/journal.pone.0197422	Beckwitt, Colin H.	2018
803	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Primary cell culture	BC	Culture	2D	n/a	n/a	Model/method develop.(exp.)	mir-34, C22ORF28, nanoparticle delivery, colony formation, telomerase activity, cytotoxicity, miR profiling	High	Yes	Direct	10.7150/thno.20771	Lin, Xiaoti	2017
805	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	Osteopontin, Aromatase, TNFα	Low	Yes	Supportive	10.1007/s10549-015-3603-0	Leitner, Lukas	2015
806	BC	BC	Metastasis	In vitro	Cells	Immortalised cells	MDA-MB-231, SUM159	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	CYR6, extravasation, anoikis, AMPKα signaling, AKT, FAK, ERK1/2, migration	Low	Yes	Supportive	10.18632/oncotarget.13677	Huang, Yu-Ting	2017
807	BC	BC	Metastasis	In silico	Simulation	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	R-α, IGF-1R and EGFR, BRCA1, p53, Mdm2	Low	Yes	Direct	10.7717/peerj.2542	Khalid, Samra	2016
808	BC	BC	Cancer Initiation and Development	In vitro/In silico	Cells/Algorithms	Immortalised cells	MDA-MB-231, Hs578T, SKBR3, BT474, MCF7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	miR-498, BRCA-1	Medium	Yes	Direct	10.18632/oncotarget.7705	Matamala, Nerea	2016
