Model no.	Disease Area	Disease Feature	Category	Type	Application	Biological Endpoints	Throughput	Potential	Notes	Reference	DOI	Authors	Year	Citation Index (Scopus)	Citation Index  (WOS)
233	Respiratory Disease - General	Tissue/Cell Viability	2D or 3D co-culture	Human Airway Epithelial Cells of Nasal origin (hAECN)	Disease mechanism (exp/theor)	Imaging	Medium / Low (Lab scale)	Mechanistic Studies		A Triple Co-Culture Model of the Human Respiratory Tract to Study Immune-Modulatory Effects of Liposomes and Virosomes	https://doi.org/10.1371/journal.pone.0163539	Blom, Rebecca A. M.; Erni, Silvia T.; Krempaska, Kristina; Schaerer, Olivier; van Dijk, R. Maarten; Amacker, Mario; Moser, Christian; Hall, Sean R. R.; von Garnier, Christophe; Blank, Fabian	2016	5	3
234	Respiratory Disease - General	Epithelial/fibroblastic cross-talk	Chip or microfluidic system	HUVEC isolated from human umbilical cords 	Disease therapy development	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Disease Progression		Cellular crosstalk between airway epithelial and endothelial cells regulates barrier functions during exposure to double-stranded RNA	https://doi.org/10.1002/iid3.139	Blume, Cornelia; Reale, Riccardo; Held, Marie; Loxham, Matthew; Millar, Timothy M.; Collins, Jane E.; Swindle, Emily J.; Morgan, Hywel; Davies, Donna E.	2017	5	5
234	Respiratory Disease - General	Epithelial/fibroblastic cross-talk	Chip or microfluidic system	16HBE14o- Human Bronchial Epithelial Cell Line	Disease therapy development	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Disease Progression		Cellular crosstalk between airway epithelial and endothelial cells regulates barrier functions during exposure to double-stranded RNA	https://doi.org/10.1002/iid3.139	Blume, Cornelia; Reale, Riccardo; Held, Marie; Loxham, Matthew; Millar, Timothy M.; Collins, Jane E.; Swindle, Emily J.; Morgan, Hywel; Davies, Donna E.	2017	5	5
234	Respiratory Disease - General	Epithelial/fibroblastic cross-talk	Chip or microfluidic system	HUVEC isolated from human umbilical cords 	Disease therapy development	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Disease Progression		Cellular crosstalk between airway epithelial and endothelial cells regulates barrier functions during exposure to double-stranded RNA	https://doi.org/10.1002/iid3.139	Blume, Cornelia; Reale, Riccardo; Held, Marie; Loxham, Matthew; Millar, Timothy M.; Collins, Jane E.; Swindle, Emily J.; Morgan, Hywel; Davies, Donna E.	2017	5	5
234	Respiratory Disease - General	Epithelial/fibroblastic cross-talk	Chip or microfluidic system	16HBE14o- Human Bronchial Epithelial Cell Line	Disease therapy development	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Disease Progression		Cellular crosstalk between airway epithelial and endothelial cells regulates barrier functions during exposure to double-stranded RNA	https://doi.org/10.1002/iid3.139	Blume, Cornelia; Reale, Riccardo; Held, Marie; Loxham, Matthew; Millar, Timothy M.; Collins, Jane E.; Swindle, Emily J.; Morgan, Hywel; Davies, Donna E.	2017	5	5
235	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D co-culture	Bronchial epithelial biopsy tissue 	Model development - experim	Cytokine Release	Medium / Low (Lab scale)	High Potential to become a disease model		Functional characterization of a novel 3D model of the epithelial-mesenchymal trophic unit	https://doi.org/10.1080/01902148.2017.1303098	Bucchieri, Fabio; Pitruzzella, Alessandro; Fucarino, Alberto; Gammazza, Antonella Marino; Bavisotto, Celeste Caruso; Marciano, Vito; Cajozzo, Massimo; Lo Iacono, Giorgio; Marchese, Roberto; Zummo, Giovanni; Holgate, Stephen T.; Davies, Donna E.	2017	5	4
235	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D co-culture	Bronchial epithelial biopsy tissue 	Model development - experim	Imaging	Medium / Low (Lab scale)	High Potential to become a disease model		Functional characterization of a novel 3D model of the epithelial-mesenchymal trophic unit	https://doi.org/10.1080/01902148.2017.1303098	Bucchieri, Fabio; Pitruzzella, Alessandro; Fucarino, Alberto; Gammazza, Antonella Marino; Bavisotto, Celeste Caruso; Marciano, Vito; Cajozzo, Massimo; Lo Iacono, Giorgio; Marchese, Roberto; Zummo, Giovanni; Holgate, Stephen T.; Davies, Donna E.	2017	5	4
236	Cigarettes	Exploratory/ no specific feature	Human-derived cell lines	Airway epithelial ALI culture	Toxicity	Tissue / Cell Viability	Medium / Low (Lab scale)	Mechanistic Studies		Evaluating the Toxicity of Cigarette Whole Smoke Solutions in an Air-Liquid-Interface Human In Vitro Airway Tissue Model	https://doi.org/10.1093/toxsci/kfw239	Cao, Xuefei; Muskhelishvili, Levan; Latendresse, John; Richter, Patricia; Heflich, Robert H.	2017	7	6
236	Cigarettes	Exploratory/ no specific feature	Human-derived cell lines	Airway epithelial ALI culture	Toxicity	Mucosal Tissue	Medium / Low (Lab scale)	Mechanistic Studies		Evaluating the Toxicity of Cigarette Whole Smoke Solutions in an Air-Liquid-Interface Human In Vitro Airway Tissue Model	https://doi.org/10.1093/toxsci/kfw239	Cao, Xuefei; Muskhelishvili, Levan; Latendresse, John; Richter, Patricia; Heflich, Robert H.	2017	7	6
236	Cigarettes	Exploratory/ no specific feature	Human-derived cell lines	Airway epithelial ALI culture	Toxicity	Protein Expression	Medium / Low (Lab scale)	Mechanistic Studies		Evaluating the Toxicity of Cigarette Whole Smoke Solutions in an Air-Liquid-Interface Human In Vitro Airway Tissue Model	https://doi.org/10.1093/toxsci/kfw239	Cao, Xuefei; Muskhelishvili, Levan; Latendresse, John; Richter, Patricia; Heflich, Robert H.	2017	7	6
237	COPD	Small airway smooth muscle	Human/patient ex-vivo tissue or body fluids 	Human pulmonary vascular smooth muscle cells	Drug development/ testing	Cytokine Release	Medium / Low (Lab scale)	Drug Development		Pharmacological investigation on the anti-oxidant and anti-inflammatory activity of N-acetylcysteine in an ex vivo model of COPD exacerbation.	https://doi.org/10.1186/s12931-016-0500-y	Cazzola, Mario; Calzetta, Luigino; Facciolo, Francesco; Rogliani, Paola; Matera, Maria Gabriella	2017	18	19
238	Lung Cancer	Bronchial Dysplasia	2D or 3D Culture	16HBE14o- Human Bronchial Epithelial Cell Line	Disease mechanism (exp/theor)	Gene expression	Medium / Low (Lab scale)	Mechanistic Studies		SOX2 Drives Bronchial Dysplasia in a Novel Organotypic Model of Early Human Squamous Lung Cancer.	https://doi.org/10.1164/rccm.201510-2084OC	Correia, Lucia L; Johnson, Jo-Anne; McErlean, Peter; Bauer, Julien; Farah, Hassan; Rassl, Doris M; Rintoul, Robert C; Sethi, Tariq; Lavender, Paul; Rawlins, Emma L; Littlewood, Trevor D; Evan, Gerard I; McCaughan, Frank M	2017	6	5
239	Respiratory Disease - General	Infection	2D or 3D Culture	A549 cell line	Drug development/ testing	Other	Medium / Low (Lab scale)	Drug Development		Antimicrobial efficacy against Pseudomonas aeruginosa biofilm formation in a three-dimensional lung epithelial model and the influence of fetal bovine serum	https://doi.org/10.1038/srep43321	Crabbe, Aurelie; Liu, Yulong; Matthijs, Nele; Rigole, Petra; De La Fuente-Nunez, Cesar; Davis, Richard; Ledesma, Maria A.; Sarker, Shameema; Van Houdt, Rob; Hancock, Robert E. W.; Coenye, Tom; Nickerson, Cheryl A.	2017	12	12
240	Cystic Fibrosis	Infection	Biochemical/cell-free assay	Synthetic sputum	Model development - experim	Infection	Medium / Low (Lab scale)	Unknown		Phage Inhibit Pathogen Dissemination by Targeting Bacterial Migrants in a Chronic Infection Model.	https://doi.org/10.1128/mBio.00240-17	Darch, Sophie E; Kragh, Kasper N; Abbott, Evelyn A; Bjarnsholt, Thomas; Bull, James J; Whiteley, Marvin	2017	14	10
241	Respiratory Disease - General	Angiogenesis	2D or 3D co-culture	HUVEC isolated from human umbilical cords 	Model development - experim	Other	Medium / Low (Lab scale)	Drug Development		Derivation of therapeutic lung spheroid cells from minimally invasive transbronchial pulmonary biopsies	https://doi.org/10.1186/s12931-017-0611-0	Dinh, Phuong-Uyen C.; Cores, Jhon; Hensley, M. Taylor; Vandergriff, Adam C.; Tang, Junnan; Allen, Tyler A.; Caranasos, Thomas G.; Adler, Kenneth B.; Lobo, Leonard J.; Cheng, Ke	2017	5	4
242	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	Human lung microvascular endothelial cells HMVEC	Model development - experim	Other	Medium / Low (Lab scale)	High Potential to become a disease model		A high-yield isolation and enrichment strategy for human lung microvascular endothelial cells.	https://doi.org/10.1177/2045893217702346	Gaskill, Christa; Majka, Susan M	2017	3	3
243	Cystic Fibrosis	Tissue/Cell Viability	2D or 3D co-culture	3T3J2 Swiss mouse fibroblast cell line	Model development - experim	Other	Medium / Low (Lab scale)	Unknown		Pharmacological Rescue of Conditionally Reprogrammed Cystic Fibrosis Bronchial Epithelial Cells.	https://doi.org/10.1165/rcmb.2016-0276MA	Gentzsch, Martina; Boyles, Susan E; Cheluvaraju, Chaitra; Chaudhry, Imron G; Quinney, Nancy L; Cho, Crescentia; Dang, Hong; Liu, Xuefeng; Schlegel, Richard; Randell, Scott H	2017	31	34
243	Cystic Fibrosis	Tissue/Cell Viability	2D or 3D co-culture	HBEC	Model development - experim	Other	Medium / Low (Lab scale)	Unknown		Pharmacological Rescue of Conditionally Reprogrammed Cystic Fibrosis Bronchial Epithelial Cells.	https://doi.org/10.1165/rcmb.2016-0276MA	Gentzsch, Martina; Boyles, Susan E; Cheluvaraju, Chaitra; Chaudhry, Imron G; Quinney, Nancy L; Cho, Crescentia; Dang, Hong; Liu, Xuefeng; Schlegel, Richard; Randell, Scott H	2017	31	34
244	Respiratory Disease - General	Healing / repair	2D or 3D Culture	Human Small Airway Epithelial Cells (SAEC)	Model development - experim	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	High Potential to become a disease model		Opposing effects of in vitro differentiated macrophages sub-type on epithelial wound healing	https://doi.org/10.1371/journal.pone.0184386	Gindele, Julia A.; Mang, Samuel; Pairet, Nicolas; Christ, Ingrid; Gantner, Florian; Schymeinsky, Juergen; Lamb, David J.	2017	2	2
244	Respiratory Disease - General	Healing / repair	2D or 3D Culture	Human Small Airway Epithelial Cells (SAEC)	Model development - experim	Imaging	Medium / Low (Lab scale)	High Potential to become a disease model		Opposing effects of in vitro differentiated macrophages sub-type on epithelial wound healing	https://doi.org/10.1371/journal.pone.0184386	Gindele, Julia A.; Mang, Samuel; Pairet, Nicolas; Christ, Ingrid; Gantner, Florian; Schymeinsky, Juergen; Lamb, David J.	2017	2	2
244	Respiratory Disease - General	Healing / repair	2D or 3D Culture	Human Small Airway Epithelial Cells (SAEC)	Model development - experim	mRNA expression	Medium / Low (Lab scale)	High Potential to become a disease model		Opposing effects of in vitro differentiated macrophages sub-type on epithelial wound healing	https://doi.org/10.1371/journal.pone.0184386	Gindele, Julia A.; Mang, Samuel; Pairet, Nicolas; Christ, Ingrid; Gantner, Florian; Schymeinsky, Juergen; Lamb, David J.	2017	2	2
244	Respiratory Disease - General	Healing / repair	2D or 3D Culture	Human Small Airway Epithelial Cells (SAEC)	Model development - experim	Protein Expression	Medium / Low (Lab scale)	High Potential to become a disease model		Opposing effects of in vitro differentiated macrophages sub-type on epithelial wound healing	https://doi.org/10.1371/journal.pone.0184386	Gindele, Julia A.; Mang, Samuel; Pairet, Nicolas; Christ, Ingrid; Gantner, Florian; Schymeinsky, Juergen; Lamb, David J.	2017	2	2
245	Asthma	Airway Remodelling	2D or 3D Culture	NIH 3 T3 murine fibroblast cells	Disease mechanism (exp/theor)	Gene expression	Medium / Low (Lab scale)	Unknown		Chronic asthma and Mesenchymal stem cells: Hyaluronan and airway remodeling	https://doi.org/10.1186/s12950-017-0165-4	Goldstein, Benjamin D.; Lauer, Mark E.; Caplan, Arnold I.; Bonfield, Tracey L.	2017	4	4
246	Respiratory Disease - General	Exploratory/ no specific feature	Human-derived cell lines	HBEC	Model development - experim	Other	Medium / Low (Lab scale)	Unknown		Epithelial ciliated beating cells essential for ex vivo ALI culture growth	https://doi.org/10.1186/s12890-017-0423-5	Gras, Delphine; Petit, Aurelie; Charriot, Jeremy; Knabe, Lucie; Alagha, Khuder; Gamez, Anne Sophie; Garulli, Celine; Bourdin, Arnaud; Chanez, Pascal; Molinari, Nicolas; Vachier, Isabelle	2017	4	4
247	Asthma	Epithelial/fibroblastic cross-talk	2D or 3D co-culture	HBEC	Disease mechanism (exp/theor)	Cytokine Release	Medium / Low (Lab scale)	Disease Progression		Human bronchial epithelium orchestrates dendritic cell activation in severe asthma	https://doi.org/10.1183/13993003.02399-2016	Gras, Delphine; Martinez-Anton, Asuncion; Bourdin, Arnaud; Garulli, Celine; de Senneville, Laure; Vachier, Isabelle; Vitte, Joana; Chanez, Pascal	2017	9	9
248	Cystic Fibrosis	CTFR Activity	Spheroid	human nasal epithelial cells (hNECs)	Model development - experim	CTFR Activity	Medium / Low (Lab scale)	High Potential to become a disease model		Nasospheroids permit measurements of CFTR-dependent fluid transport.	https://doi.org/10.1172/jci.insight.95734	Guimbellot, Jennifer S; Leach, Justin M; Chaudhry, Imron G; Quinney, Nancy L; Boyles, Susan E; Chua, Michael; Aban, Inmaculada; Jaspers, Ilona; Gentzsch, Martina	2017	9	10
248	Cystic Fibrosis	Tissue/Cell Viability	Spheroid	human nasal epithelial cells (hNECs)	Model development - experim	CTFR Activity	Medium / Low (Lab scale)	Biomarker Discovery		Nasospheroids permit measurements of CFTR-dependent fluid transport	https://doi.org/10.1172/jci.insight.95734	Guimbellot, Jennifer S.; Leach, Justin M.; Chaudhry, Imron G.; Quinney, Nancy L.; Boyles, Susan E.; Chua, Michael; Aban, Inmaculada; Jaspers, Ilona; Gentzsch, Martina	2017	9	10
249	Respiratory Disease - General	Exploratory/ no specific feature	Computational/in silico	in silico/ mathemathical model	Mimics lung microenvironment	Other	Not relevant (e.g. In silico)	High Potential to become a disease model		A computational study of mucociliary transport in healthy and diseased environments	https://doi.org/10.1080/17797179.2017.1321206	Guo, Hanliang; Kanso, Eva	2017	-	0
250	Toxicity	Tissue/Cell Viability	2D or 3D Culture	Primary human tracheobronchial epithelial cells 	Toxicity	Cytokine Release	Medium / Low (Lab scale)	Unknown		Airway injury in an in vitro human epithelium-fibroblast model of diacetyl vapor exposure: diacetyl-induced basal/suprabasal spongiosis	https://doi.org/10.1080/08958378.2017.1369604	Gwinn, William M.; Flake, Gordon P.; Bousquet, Ronald W.; Taylor, Genie J.; Morgan, Daniel L.	2017	-	0
250	Toxicity	Tissue/Cell Viability	2D or 3D Culture	Primary human tracheobronchial epithelial cells 	Toxicity	Tissue / Cell Viability	Medium / Low (Lab scale)	Unknown		Airway injury in an in vitro human epithelium-fibroblast model of diacetyl vapor exposure: diacetyl-induced basal/suprabasal spongiosis	https://doi.org/10.1080/08958378.2017.1369604	Gwinn, William M.; Flake, Gordon P.; Bousquet, Ronald W.; Taylor, Genie J.; Morgan, Daniel L.	2017	-	0
251	Pulmonary Fibrosis	Epithelial/fibroblastic cross-talk	Chip or microfluidic system	A549 cell line	Disease mechanism (exp/theor)	Apoptosis	Medium / Low (Lab scale)	Mechanistic Studies		Modeling alveolar injury using microfluidic co-cultures for monitoring bleomycin-induced epithelial/fibroblastic cross-talk disorder	https://doi.org/10.1039/c7ra06752f	He, Jiarui; Chen, Weixing; Deng, Shijie; Xie, Lan; Feng, Juan; Geng, Jing; Jiang, Dingyuan; Dai, Huaping; Wang, Chen	2017	-	0
251	Pulmonary Fibrosis	Epithelial/fibroblastic cross-talk	Chip or microfluidic system	A549 cell line	Disease mechanism (exp/theor)	Cell /  Tissue Morphology	Medium / Low (Lab scale)	Mechanistic Studies		Modeling alveolar injury using microfluidic co-cultures for monitoring bleomycin-induced epithelial/fibroblastic cross-talk disorder	https://doi.org/10.1039/c7ra06752f	He, Jiarui; Chen, Weixing; Deng, Shijie; Xie, Lan; Feng, Juan; Geng, Jing; Jiang, Dingyuan; Dai, Huaping; Wang, Chen	2017	-	0
251	Pulmonary Fibrosis	Epithelial/fibroblastic cross-talk	Chip or microfluidic system	A549 cell line	Disease mechanism (exp/theor)	Cytokine Release	Medium / Low (Lab scale)	Mechanistic Studies		Modeling alveolar injury using microfluidic co-cultures for monitoring bleomycin-induced epithelial/fibroblastic cross-talk disorder	https://doi.org/10.1039/c7ra06752f	He, Jiarui; Chen, Weixing; Deng, Shijie; Xie, Lan; Feng, Juan; Geng, Jing; Jiang, Dingyuan; Dai, Huaping; Wang, Chen	2017	-	0
251	Pulmonary Fibrosis	Epithelial/fibroblastic cross-talk	Chip or microfluidic system	MRC-5	Disease mechanism (exp/theor)	Apoptosis	Medium / Low (Lab scale)	Mechanistic Studies		Modeling alveolar injury using microfluidic co-cultures for monitoring bleomycin-induced epithelial/fibroblastic cross-talk disorder	https://doi.org/10.1039/c7ra06752f	He, Jiarui; Chen, Weixing; Deng, Shijie; Xie, Lan; Feng, Juan; Geng, Jing; Jiang, Dingyuan; Dai, Huaping; Wang, Chen	2017	-	0
251	Pulmonary Fibrosis	Epithelial/fibroblastic cross-talk	Chip or microfluidic system	MRC-5	Disease mechanism (exp/theor)	Cell /  Tissue Morphology	Medium / Low (Lab scale)	Mechanistic Studies		Modeling alveolar injury using microfluidic co-cultures for monitoring bleomycin-induced epithelial/fibroblastic cross-talk disorder	https://doi.org/10.1039/c7ra06752f	He, Jiarui; Chen, Weixing; Deng, Shijie; Xie, Lan; Feng, Juan; Geng, Jing; Jiang, Dingyuan; Dai, Huaping; Wang, Chen	2017	-	0
251	Pulmonary Fibrosis	Epithelial/fibroblastic cross-talk	Chip or microfluidic system	MRC-5	Disease mechanism (exp/theor)	Cytokine Release	Medium / Low (Lab scale)	Mechanistic Studies		Modeling alveolar injury using microfluidic co-cultures for monitoring bleomycin-induced epithelial/fibroblastic cross-talk disorder	https://doi.org/10.1039/c7ra06752f	He, Jiarui; Chen, Weixing; Deng, Shijie; Xie, Lan; Feng, Juan; Geng, Jing; Jiang, Dingyuan; Dai, Huaping; Wang, Chen	2017	-	0
252	Pulmonary Fibrosis	Exploratory/ no specific feature	Human/patient primary or stem cells 	Mesenchymal Stem Cells (MSCs)	Disease therapy development	Other	Medium / Low (Lab scale)	Disease Progression		Multipotent mesenchymal stem cells in lung fibrosis.	https://doi.org/10.1371/journal.pone.0181946	Hostettler, Katrin E; Gazdhar, Amiq; Khan, Petra; Savic, Spasenija; Tamo, Luca; Lardinois, Didier; Roth, Michael; Tamm, Michael; Geiser, Thomas	2017	6	7
253	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	Primary human ASMCs	Model development - experim	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	High Potential to become a disease model		Establishment and characterization of an in vitro human small airway model (SmallAir (TM))	https://doi.org/10.1016/j.ejpb.2016.12.006	Huang, Song; Boda, Bernadett; Vernaz, Jimmy; Ferreira, Emilie; Wiszniewski, Ludovic; Constant, Samuel	2017	11	11
253	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	Primary human ASMCs	Model development - experim	Mucociliary Clearance	Medium / Low (Lab scale)	High Potential to become a disease model		Establishment and characterization of an in vitro human small airway model (SmallAir (TM))	https://doi.org/10.1016/j.ejpb.2016.12.006	Huang, Song; Boda, Bernadett; Vernaz, Jimmy; Ferreira, Emilie; Wiszniewski, Ludovic; Constant, Samuel	2017	11	11
253	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	Primary human ASMCs	Model development - experim	Cillia beating Frequency	Medium / Low (Lab scale)	High Potential to become a disease model		Establishment and characterization of an in vitro human small airway model (SmallAir (TM))	https://doi.org/10.1016/j.ejpb.2016.12.006	Huang, Song; Boda, Bernadett; Vernaz, Jimmy; Ferreira, Emilie; Wiszniewski, Ludovic; Constant, Samuel	2017	11	11
253	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	Primary human ASMCs	Model development - experim	Bioeleectric Properties	Medium / Low (Lab scale)	High Potential to become a disease model		Establishment and characterization of an in vitro human small airway model (SmallAir (TM))	https://doi.org/10.1016/j.ejpb.2016.12.006	Huang, Song; Boda, Bernadett; Vernaz, Jimmy; Ferreira, Emilie; Wiszniewski, Ludovic; Constant, Samuel	2017	11	11
254	Respiratory Disease - General	Airway Remodelling	2D or 3D co-culture	Human fetal lung fibroblasts IMR-90	Disease mechanism (exp/theor)	Cell /  Tissue Morphology	Medium / Low (Lab scale)	High Potential to become a disease model		A 3D epithelial-mesenchymal co-culture model of human bronchial tissue recapitulates multiple features of airway tissue remodeling by TGF-beta 1 treatment	https://doi.org/10.1186/s12931-017-0680-0	Ishikawa, Shinkichi; Ishimori, Kanae; Ito, Shigeaki	2017	5	5
254	Respiratory Disease - General	Airway Remodelling	2D or 3D co-culture	Primary human bronchial fibroblasts	Disease mechanism (exp/theor)	Cell /  Tissue Morphology	Medium / Low (Lab scale)	High Potential to become a disease model		A 3D epithelial-mesenchymal co-culture model of human bronchial tissue recapitulates multiple features of airway tissue remodeling by TGF-beta 1 treatment	https://doi.org/10.1186/s12931-017-0680-0	Ishikawa, Shinkichi; Ishimori, Kanae; Ito, Shigeaki	2017	5	5
254	Respiratory Disease - General	Airway Remodelling	2D or 3D co-culture	HBEC	Disease mechanism (exp/theor)	Cell /  Tissue Morphology	Medium / Low (Lab scale)	High Potential to become a disease model		A 3D epithelial-mesenchymal co-culture model of human bronchial tissue recapitulates multiple features of airway tissue remodeling by TGF-beta 1 treatment	https://doi.org/10.1186/s12931-017-0680-0	Ishikawa, Shinkichi; Ishimori, Kanae; Ito, Shigeaki	2017	5	5
254	Respiratory Disease - General	Airway Remodelling	2D or 3D co-culture	Human fetal lung fibroblasts IMR-90	Disease mechanism (exp/theor)	Gene expression	Medium / Low (Lab scale)	High Potential to become a disease model		A 3D epithelial-mesenchymal co-culture model of human bronchial tissue recapitulates multiple features of airway tissue remodeling by TGF-beta 1 treatment	https://doi.org/10.1186/s12931-017-0680-0	Ishikawa, Shinkichi; Ishimori, Kanae; Ito, Shigeaki	2017	5	5
254	Respiratory Disease - General	Airway Remodelling	2D or 3D co-culture	Primary human bronchial fibroblasts	Disease mechanism (exp/theor)	Gene expression	Medium / Low (Lab scale)	High Potential to become a disease model		A 3D epithelial-mesenchymal co-culture model of human bronchial tissue recapitulates multiple features of airway tissue remodeling by TGF-beta 1 treatment	https://doi.org/10.1186/s12931-017-0680-0	Ishikawa, Shinkichi; Ishimori, Kanae; Ito, Shigeaki	2017	5	5
254	Respiratory Disease - General	Airway Remodelling	2D or 3D co-culture	HBEC	Disease mechanism (exp/theor)	Gene expression	Medium / Low (Lab scale)	High Potential to become a disease model		A 3D epithelial-mesenchymal co-culture model of human bronchial tissue recapitulates multiple features of airway tissue remodeling by TGF-beta 1 treatment	https://doi.org/10.1186/s12931-017-0680-0	Ishikawa, Shinkichi; Ishimori, Kanae; Ito, Shigeaki	2017	5	5
255	Asthma	Barrier Function / Integrity	2D or 3D Culture	HBEC	Disease mechanism (exp/theor)	Infection	Medium / Low (Lab scale)	Mechanistic Studies		Respiratory syncytial virus infection influences tight junction integrity	https://doi.org/10.1111/cei.13042	Kast, J. I.; McFarlane, A. J.; Globinska, A.; Sokolowska, M.; Wawrzyniak, P.; Sanak, M.; Schwarze, J.; Akdis, C. A.; Wanke, K.	2017	7	7
255	Asthma	Barrier Function / Integrity	2D or 3D Culture	HBEC	Disease mechanism (exp/theor)	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Mechanistic Studies		Respiratory syncytial virus infection influences tight junction integrity	https://doi.org/10.1111/cei.13042	Kast, J. I.; McFarlane, A. J.; Globinska, A.; Sokolowska, M.; Wawrzyniak, P.; Sanak, M.; Schwarze, J.; Akdis, C. A.; Wanke, K.	2017	7	7
255	Asthma	Barrier Function / Integrity	2D or 3D Culture	HBEC	Disease mechanism (exp/theor)	mRNA expression	Medium / Low (Lab scale)	Mechanistic Studies		Respiratory syncytial virus infection influences tight junction integrity	https://doi.org/10.1111/cei.13042	Kast, J. I.; McFarlane, A. J.; Globinska, A.; Sokolowska, M.; Wawrzyniak, P.; Sanak, M.; Schwarze, J.; Akdis, C. A.; Wanke, K.	2017	7	7
256	Asthma	Inflammation	2D or 3D Culture	Human airway smooth muscle cells (HASMCs)	Disease mechanism (exp/theor)	Tissue / Cell Viability	Medium / Low (Lab scale)	Mechanistic Studies		TNF alpha-induced airway smooth muscle cell proliferation depends on endothelin receptor signaling, GM-CSF and IL-6	https://doi.org/10.1016/j.bcp.2016.07.008	Knobloch, Juergen; Yanik, Sarah Derya; Koerber, Sandra; Stoelben, Erich; Jungck, David; Koch, Andrea	2016	3	2
256	Asthma	Inflammation	2D or 3D Culture	Human airway smooth muscle cells (HASMCs)	Disease mechanism (exp/theor)	Inflammatory Mediators	Medium / Low (Lab scale)	Mechanistic Studies		TNF alpha-induced airway smooth muscle cell proliferation depends on endothelin receptor signaling, GM-CSF and IL-6	https://doi.org/10.1016/j.bcp.2016.07.008	Knobloch, Juergen; Yanik, Sarah Derya; Koerber, Sandra; Stoelben, Erich; Jungck, David; Koch, Andrea	2016	3	2
256	Asthma	Inflammation	2D or 3D Culture	Human airway smooth muscle cells (HASMCs)	Disease mechanism (exp/theor)	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Mechanistic Studies		TNF alpha-induced airway smooth muscle cell proliferation depends on endothelin receptor signaling, GM-CSF and IL-6	https://doi.org/10.1016/j.bcp.2016.07.008	Knobloch, Juergen; Yanik, Sarah Derya; Koerber, Sandra; Stoelben, Erich; Jungck, David; Koch, Andrea	2016	3	2
257	Respiratory Disease - General	Exploratory/ no specific feature	2D or 3D Culture	NCI-H292 cells	Model development - experim	Other	Medium / Low (Lab scale)	High Potential to become a disease model		Evaluation of a Gelatin-Modified Poly(epsilon-Caprolactone) Film as a Scaffold for Lung Disease	https://doi.org/10.1080/00032719.2016.1163363	Kosmala, Aleksandra; Fitzgerald, Michelle; Moore, Eric; Stam, Frank	2017	8	7
258	Asthma	Inflammation	Human/patient ex-vivo tissue or body fluids 	Human Precision-Cut Lung Slices (PCLS)	Model development - experim	Inflammatory Mediators	Medium / Low (Lab scale)	Unknown		Inhibition of spleen tyrosine kinase attenuates IgE-mediated airway contraction and mediator release in human precision cut lung slices	https://doi.org/10.1111/bph.13550	Koziol-White, Cynthia J.; Jia, Yanlin; Baltus, Gretchen A.; Cooper, Philip R.; Zaller, Dennis M.; Crackower, Michael A.; Sirkowski, Erich E.; Smock, Steven; Northrup, Alan B.; Himes, Blanca E.; Alves, Stephen E.; Panettieri, Reynold A., Jr.	2016	4	4
259	COPD	Oxidative stress	2D or 3D co-culture	Induced pluripotent stem cell-derived mesenchymal stem cells (iPSC-MSCs) 	Model validation	Apoptosis	Medium / Low (Lab scale)	Disease Progression		Mesenchymal stem cells alleviate oxidative stress-induced mitochondrial dysfunction in the airways	https://doi.org/10.1016/j.jaci.2017.08.017	Li, X.; Michaeloudes, C.; Zhang, Y.; Wiegman, C.H.; Adcock, I.M.; Lian, Q.; Mak, J.C.W.; Bhavsar, P.K.; Chung, K.F.	2017	13	12
259	COPD	Oxidative stress	2D or 3D co-culture	Induced pluripotent stem cell-derived mesenchymal stem cells (iPSC-MSCs) 	Model validation	Reactive Oxygen Species (ROS)	Medium / Low (Lab scale)	Disease Progression		Mesenchymal stem cells alleviate oxidative stress-induced mitochondrial dysfunction in the airways	https://doi.org/10.1016/j.jaci.2017.08.017	Li, X.; Michaeloudes, C.; Zhang, Y.; Wiegman, C.H.; Adcock, I.M.; Lian, Q.; Mak, J.C.W.; Bhavsar, P.K.; Chung, K.F.	2017	13	12
