Model no.	Disease area	Disease feature 	Disease feature 1	Disease feature 2	Disease feature 3	Cellular Input	Model	Category	Type	Cells	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	Status	Content	Predictive	Year	First Author Name	Link to Abstract (DOI)
163	Head And Neck Cancer	Immunotherapy	immunotherapy	 anti-cancer treatment		Dendritic cells (DCs) and cytotoxic T-Lymphocytes (CTLs)	Biopsies	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	MAGED4B and FJX1, citotxicity	Low	Yes	Supportive	Proof of Concept	Low	No	2019	Chai, SJ	10.1080/21645515.2018.1520584
164	Pancreatic Cancer	Immunoprofiling	immunoprofiling			n/a	Biopsies, TILs	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor) Disease therapy dev	CD38, CD101, PD1, CD8	Low	Yes	Supportive	Proof of Concept	Low	Yes	2019	Zhang, MJ	10.1080/08820139.2019.1566356
165	Breast Cancer	Immunoprofiling	immunoprofiling	 biomarkers		n/a	TILs, Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	infiltration	Low	Yes	Direct	Proof of Concept	Low	No	2018	Sonderstrup, IMH	10.1080/0284186X.2018.1539239
166	Colon Cancer	Immunoprofiling	immunoprofiling			n/a	HT-29 and DLD-1	In vitro	Cells	Immortalized cells	Culture	3D	Organoids	n/a	Disease mechanism (exp/theor)	protein profiling	Low	Yes	Direct	Qualified externally	High	No	2018	Liu, X	10.1021/acs.analchem.8b02151
167	Colorectal Cancer	Immunomodulation	immunomodulation			Lymphocytes	Biopsies	In vitro	Cells	Primary cell culture	Culture	3D	Organoids	n/a	Disease therapy dev	T cell responses 	Low	Yes	Supportive	Proof of Concept	Low	No	2018	Dijkstra, KK	10.1016/j.cell.2018.07.009
168	General	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	 Cancer Cells and T Cells	Low	Yes	Direct	Proof of Concept	Low	Yes	2014	Delitala, M	10.1007/978-1-4939-1793-8_3
169	General	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	Tumour-TICLs Interactions	Low	Yes	Direct	Proof of Concept	Low	Yes	2014	Malinzi, J	10.1155/2014/137015
170	Chronic Lymphocytic Leukemia	Immunotherapy/Anti-cancer therapy	chemioimmunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	numerical simulations and the classical linear stability analysis	Low	Yes	Direct	Proof of Concept	Low	Yes	2019	Rodrigues, DS	10.1016/j.amc.2018.12.008
171	General	Immunomodulation	immunomodulation	 anti-cancer therapy		n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	 BETi and CTLA-4 inhibitor effect and correlation	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Lai, XL	10.1073/pnas.1721559115
172	General	Immunotherapy	immunotherapy	 chemiotherapy		n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	stability of the tumor-free equilibrium	Low	Yes	Direct	Proof of Concept	Low	Yes	2016	Wei, HC	10.3934/dcdsb.2016.21.1279
173	General	Immunotherapy	immunotherapy			Dendritic cells	SW620 	In vitro	Cells	Immortalized cells / primary cell culture	MPS	3D	Scaffolds	n/a	Disease mechanism (exp/theor)	T-cell response, phagocytosis, migration	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Parlato, S	10.1038/s41598-017-01013-x
174	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	liquid Biopsies	In vitro	Cell free	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp/theor)	NLRC5 and PD-L1 	Low	Yes	Direct	Proof of Concept	High	No	2018	Catalano, C	10.1371/journal.pone.0192385
175	Colorectal Cancer	Biomarkers	biomarkers			n/a	Biopsies, SW620	In vitro	Cells	Immortalized cells	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	PLAC1/CP1, IFN-γ, cytotoxic T Lymphocytes	Low	Yes	Supportive	Proof of Concept/Qualified externally	Medium	No	2014	Liu, FF	10.1007/s00535-013-0811-4
176	Melanoma	Immunotherapy	immunotherapy			n/a	liquid Biopsies	In vitro	Cell free / Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease therapy dev	T cells, correlation, DNA profiling	Low	Yes	Supportive	Proof of Concept	Low	No	2018	Veatch, JR	10.1172/JCI98689
177	Ovarian Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	s ES-2, OVCAR-3, CaOV-3, HEY-A8, SKOV-3.ip1 and A2780 , Biopsies	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Drug dev/testing	e B7-H3-specific mAb 376.96 staining	Low	Yes	Supportive	Qualified externally	Low	No	2014	Fauci, JM	10.1016/j.ygyno.2013.10.038
178	Papillary Thyroid Cancer	Cancer initiation and develop.	cancer initiation and dev			n/a	Biopsies, K1, BCPAP, 8505-c, 8305-c, Nthy-ori 3-1	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	TLR3, progression, invasion and immune evasion, cytotoxicity, cell viability	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2014	Li, DP	10.18632/oncotarget.9329
179	Colorectal Cancer	Immunotherapy	immunotherapy			liquid Biopsies (sera)	SW480 cells and CT-26	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	TRL4, cytokine and chemokine	Low	No	Supportive	Qualified externally	Low	No	2014	Fang, HL	10.1038/cmi.2013.59
180	General	Anti-Cancer Therapy	anti-cancer therapy			n/a	MIA-PaCa-2, MDA-MB-231	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity, internalization	Low	Yes	Supportive	Qualified externally	Low	No	2014	Bostad, M	10.1021/mp500129t
181	T-Lymphoblastic Leukemia And Lung Carcinoma	Anti-Cancer Therapy	anti-cancer therapy			n/a	U937, MOLT4	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity	Low	Yes	Direct	Qualified externally	Low	No	2015	Nand, KN	10.1016/j.pep.2014.10.008
182	Anaplastic Thyroid Carcinoma	Immunotherapy	immunotherapy			NK cells	Biopsies	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Drug dev/testing	citotoxicity, mogration	Low	Yes	Supportive	Proof of Concept	Low	No	2014	Wennerberg, E	10.1158/1078-0432.CCR-14-0291
183	Bladder Cancer	Immunomodulation	immunomodulation			PBMCs	T24	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	proliferation,  Th1 cytokines (IFN-gamma, TNF-alpha, IL-12) and Th2 cytokines (IL-10, IL-4)	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2014	Janaszek-Seydlitz, W	10.17219/acem/37330
184	General	Anti-Cancer Therapy	anti-cancer therapy			n/a	A2780 (ovarian) and HCT-116 (Colorectal)	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	citotoxicity, viability	Low	Yes	Supportive	Qualified externally	Low	No	2015	Hughes, J	10.1038/gt.2015.13
185	Ovarian Cancer, Breast Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	CIK cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	CD16, ADCC	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Cappuzzello, E	10.1080/2162402X.2016.1199311
186	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	CD169	Low	No	Supportive	Proof of Concept	Low	No	2016	Zhang, JL	10.1080/2162402X.2016.1177690
187	Cervical Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	SiHa, HeLa, DoTc2 4510, HPV 16 E6/E7-transformed, Ect1/E6E7	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	correlation, proliferation, apoptosis, migration, invasion, 	Low	Yes	Supportive	Qualified externally	Low	No	2016	Iden, M	10.1371/journal.pone.0156274
188	Renal Carcinoma	Immunomodulation	immunomodulation			n/a	RCC85#21	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Model/method dev - exp	DNa profile, proteome profile, immuno profile,	Low	Yes	Direct	Proof of Concept	Low	No	2016	Prattichizzo, C	10.3892/ijo.2016.3544
189	Prostate, Breast, And Lung Carcinoma	Immunotherapy	Immunotherapy	 immunomodulation		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease therapy dev	T-cells count, MUC-1, brachyury, and CEA 	Low	Yes	Direct	Proof of Concept	Low	No	2016	Malamas, AS	10.18632/oncotarget.13520
190	Cutaneous Angiosarcoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	ISOS-1, HAMON, Biopsies	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	PD-1, PDL-1, infiltration	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Honda, Y	10.1080/2162402X.2016.1253657
191	Breast Cancer	Immunotherapy	immunotherapy			T2	SK-BR-3	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev Model/method dev - exp	proliferation, lysis, cytokines	Low	Yes	Supportive	Qualified externally	Low	No	2017	Chen, S	10.1186/s13045-017-0429-8
192	Lung Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		PBMCs	Biopsies	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	TILs count, GARP	Low	Yes	Supportive	Proof of Concept	Low	No	2017	Jin, H	10.3389/fimmu.2017.00138
193	Lung Cancer	Immunotherapy	immunotherapy			T-cells	g SKMES-1, Calu-1, A-427, A-549, and SKLU-1, MRC-5, 3A5A, 1.3.11, 1.3.15, 3B1A, AJG-1, OSJV-1, CDS-1, MRLO-1, MRLO-2, and RCC1-20 NSCLC 	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	PD-L1/PD-1 pathway, cytotoxicity,  PD-1, TIM-3, and LAG-3, CD137	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Prado-Garcia, H	10.1007/s00262-017-1979-x
194	Non-Muscle Invasive Bladder Cancer	Immunotherapy	immunotherapy			DC	Biopsies	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	IL-1β, TNF-α, IL-6, and PGE2, citotoxicity	Low	Yes	Supportive	Proof of Concept	Low	No	2017	Hwang, EC	10.1590/S1677-5538.IBJU.2016.0274
195	Laryngeal Cancer	Immunomodulation	immunomodulation	 anti-cancer therapy		n/a	NKT, DC	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	proliferation	Low	Yes	Supportive	Proof of Concept	Low	No	2017	Klatka, J	10.21873/anticanres.11791
196	General	Anti-Cancer Therapy	anti-cancer therapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	IDO1 inhibitors	Low	Yes	Direct	Proof of Concept	Low	Yes	2017	Xu, HJ	10.1248/cpb.c16-01010
197	Pancreatic Cancer	Immunotherapy	immunotherapy			T-cells	MIA-PaCa-2, PK-45, Panc-1, KLM-1, Bx-PC3, and PK-1	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	T-cell response, citotoxicity, PD-1, PD-L1, CEA691, IFNγ 	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Chen, Y	10.1158/1078-0432.CCR-17-1185
198	Breast Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		HUVEC	MDA-MB-231, MDA-MB-435S, MDA-MB-453, SK-BR-3, ZR-75-1, T47D, and MCF-7,	In vitro	Cells	Immortalized cells	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	IDO, CD31, and CD105, proliferation	Low	No	Supportive	Qualified externally	Low	No	2018	Wei, LJ	10.3389/fimmu.2018.00724
199	General	Immunotherapy	immunotherapy			T-cells	A-549, HT-29, and RAMOS	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	Siglec-7 and Siglec-9, citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Stanczak, MA	10.1172/JCI120612
200	Cervical Cancer	Immunomodulation	immunomodulation			n/a	n/a	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	T-cell profiling, PD-1 and IFNγ, cytokine 	Low	No	Direct	Proof of Concept	Medium	No	2019	Heeren, AM	10.1186/s40425-019-0526-z
201	Ovarian Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	OVCAR-3, SKOV-3, and OVCAR-4	In vitro	Cells	Immortalized cells	Culture	3D	Spheroids	n/a	Disease mechanism (exp/theor)	cAMP, Notch receptor, proliferation, spheroid formation	Low	No	Direct	Qualified externally	Low	No	2019	Gera, S	10.1210/js.2018-00272
202	Melanoma	Immunotherapy	immunotherapy			n/a	T cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	DNA profiling	Low	Yes	Supportive	Proof of Concept	Low	No	2015	Cohen, CJ	10.1172/JCI82416
203	Head And Neck Squamous Cell Carcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		T-cells, DCs, B cells	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	PD-L1, PD-L2, DNA methylation, RNA profile, protein profile	Low	No	Direct	Proof of Concept	Low	No	2018	Franzen, A	10.18632/oncotarget.23080
204	Non-Small Cell Lung Cancer	Cancer classification	cancer classification			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	PD-L1	Low	No	Direct	Proof of Concept	Low	No	2017	Rehman, JA	10.1038/modpathol.2016.186
205	Breast Cancer, Head And Neck Squamous Cell Carcinomas	Immunotherapy	immunotherapy	 radiotherapy		n/a	MDA-MB-468, 231-H2N	In vitro/In silico	Cells / Mathematical	Immortalized cells	Culture	3D	Spheroids	n/a	Disease mechanism (exp/theor) Model/method dev - theor	cell size, cellular radioactivity distribution	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2019	Falzone, N	10.2967/jnumed.117.207308
206	Non-Small Cell Lung Cancer	Genomic landscape	genomic landscape			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	DNA profiling	Low	Yes	Direct	Proof of Concept	High	No	2017	Li, SYD	10.1186/S13073-017-0478-1
207	Breast Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		TILs	Biopsies	In vitro	Ex vivo	n/a	n/a	2D	n/a	Organ slice	Disease mechanism (exp/theor)	 CD3 and CD8, correlation	Low	No	Direct	Proof of Concept	Low	No	2016	Mani, NL	10.1186/s13058-016-0737-x
208	Cervical Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		TILs	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Organ slice	Disease mechanism (exp/theor)	cell infiltration, correlation	Low	No	Supportive	Proof of Concept	High	No	2017	Komdeur, FL	10.1080/2162402X.2017.1338230
209	Non-Small Cell Lung Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Cell free	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp/theor)	DNA profile, PD-L1, PD-1	Low	No	Direct	Proof of Concept	High	No	2018	Rizvi, H	10.1200/JCO.2017.75.3384
210	Soft Tissue Sarcomas	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	cell infiltration, PD-L1, PD-1	Low	No	Direct	Proof of Concept	Low	No	2017	Pollack, SM	10.1002/cncr.30726
211	General	Virotherapy 	virotherapy 			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	 IL-12 and GM-CSF expression	Low	Yes	Supportive	Proof of Concept	Low	Yes	2018	Jenner, A.L.	10.1080/23737867.2018.1438216 
212	Melanoma	Immunotherapy	immunotherapy			n/a	T cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Diagnosis of disease	MHC, binding affinity	Low	Yes	Supportive	Proof of Concept	Low	Yes	2016	Bentzen, AK	10.1038/nbt.3662
213	Colon Cancer	Immunotherapy	immunotherapy			T-cells	C1 cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor) Disease therapy dev	PRC2, H3K27 , migration, Chemokines ,CXCL9 and CXCL10	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Nagarsheth, N	10.1158/0008-5472.CAN-15-1938
214	General	Virotherapy 	virotherapy 			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	persistency of effecto cells	Low	No	Direct	Proof of Concept	Low	No	2015	Macnamara, C	10.1016/j.jtbi.2015.04.004
215	General	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	tumor-free equilibrium and coexisting equilibrium	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Akman Yildiz, T	10.1002/mma.5298
216	General	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	in vivo tumore-immune interactions	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Arabameri, A	10.1142/S0218339018500080
217	Superficial Bladder Cancer	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	tumor-immune dynamics after BCG instillations	Low	Yes	Direct	Proof of Concept	Low	Yes	2017	Aboulaich, R	10.1051/mmnp/201712507
218	General	Immunotherapy	immunotherapy	 radiotherapy		n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	PD1-PDL1 axis and/or the CTLA4	Low	Yes	Direct	Proof of Concept	Low	Yes	2016	Serre, R	10.1158/0008-5472.CAN-15-3567
219	Lung Cancer	Cell isolation and processing	cell isolation and processing			n/a	liquid Biopsies	In vitro	Cells	Primary cell culture	MPS	2D	n/a	n/a	Model/method dev - exp	mutation profile	Low	Yes	Direct	Proof of Concept	Medium	No	2014	Earhart, CM	10.1039/c3lc50580d
220	Head And Neck Squamous Cell Carcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro/In silico	Cells / Ex vivo /Computational	Primary cell culture	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	DNA profile,SCC4, SCC15, and SCC25	Low	Yes	Supportive	Proof of Concept	Low	Yes	2017	Bates, AM	10.1016/j.oooo.2017.05.474
221	Ovarian Cancer	Immunotherapy	immunotherapy			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease therapy dev	B7-H1 and B7-H4	Medium	Yes	Direct	Proof of Concept	Low	No	2016	Xu, M	10.3892/ol.2016.4301
222	Epithelial Cancers	Immunotherapy	immunotherapy			n/a	liquid Biopsies	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	T-cell reactivity	Low	Yes	Direct	Proof of Concept	Low	No	2015	Draper, LM	10.1158/1078-0432.CCR-14-3341
223	General	Adoptive Cell Therapy	adoptive cell therapy			T-cells	K562 	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	Dendritic cell-derived exosomes, citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Kim, S	10.1097/CJI.0000000000000151
224	General	Adoptive Cell Therapy	adoptive cell therapy			n/a	T cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Model/method dev - exp	c-SRC kinase (CSK) , ERK, pMHC-induced IL-2 release	Low	No	Direct	Proof of Concept	Low	No	2018	Inderberg, EM	10.1007/s00262-017-2105-9
225	General	Adoptive Cell Therapy	adoptive cell therapy			n/a	TILs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	interleukin (IL)-2, IL-7, and IL-15, ECCE,  IFN-γ and TNF-α, citotxicity	Low	Yes	Supportive	Proof of Concept	Low	No	2018	Xu, QP	10.1016/j.cellimm.2018.04.006
226	Gastric Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	AGS and SGC-7901	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	IL17A, cell proliferation, apoptosis	Low	No	Direct	Qualified externally	Low	No	2014	Wu, XQ	10.1007/s13277-014-1697-3
227	General	Immunotherapy	immunotherapy			DCs, T-cells	Panc-1, MIA MIA-PaCa-2, K562	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	proliferation, HLA-ABC, HLA-DR, CD80, CD86, CD83 and MUC1	Low	No	Direct	Proof of Concept/Qualified externally	Low	No	2014	Koido, S	10.3892/ijo.2014.2433
228	Cervical Cancer	Microenvironment	microenvironment	 cancer initiation and dev		n/a	Biopsies (lymphoid cells)	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	immunoprofile, cytokines	Low	Yes	Direct	Proof of Concept	Low	No	2015	Heeren, AM	10.1158/2326-6066.CIR-14-0149
229	Rhabdomyosarcoma	Anti-Cancer Therapy	anti-cancer treatment				RMS	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity, binding and internalization behavior of 425(scFv)-ETA	Low	Yes	Direct	Qualified externally	Low	No	2015	Niesen, J	10.1007/s00432-014-1884-z
230	Lung Cancer	Immunotherapy	immunotherapy			Complement Factor H Antibodies	A-549 	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity	Low	Yes	Direct	Qualified externally	Low	No	2015	Campa, MJ	10.1158/2326-6066.CIR-15-0122
231	Burkitt’S Lymphoma	Anti-Cancer Therapy	anti-cancer treatment				Raji, MOLT-4, Jurkat	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity, CD20	Low	Yes	Direct	Qualified externally	Low	No	2016	Bortolotti, M	10.3390/toxins8060192
232	Osteosarcoma	Anti-Cancer Therapy	anti-cancer treatment	 immunomodulation		γδ T-cells	HOS, U2OS	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity, IFN-γ 	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2016	Li, ZX	10.18632/oncotarget.12756
233	General	Anti-Cancer Therapy	anti-cancer therapy			n/a	SKOV-3	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity, protein inhibition, aploid nuclei	Low	Yes	Direct	Qualified externally	Medium	No	2017	Sokolova, E	10.18632/oncotarget.15833
234	B-Cell Malignancies	Adoptive Cell Therapy	adoptive cell therapy			lysosomes	T-cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Drug dev/testing	TGF-β	Low	Yes	Direct	Proof of Concept	Low	No	2017	Zheng, Y	10.1021/acsnano.7b00078
235	Chronic Lymphocytic Leukemia	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	monocytes 	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	CD40, CCR2	Low	Yes	Direct	Proof of Concept	Low	No	2017	van Attekum, MHA	10.3324/haematol.2016.157206
236	Cholangiocarcinoma	Immunomodulation	immunomodulation			DCs, T cells	KKU-055, KKU-100, and KKU-213 	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	 IL-10 and TGF- receptors, citotxicity	Low	Yes	Supportive	Qualified internally	Low	No	2018	Thepmalee, C	10.1080/21645515.2018.1431598
237	Urothelial Bladder Cancer	Cancer initiation and develop.	cancer initiation and dev			n/a	T cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	perforin, ICAM-1/TGF beta 2	Low	No	Supportive	Proof of Concept	High	No	2018	Hartana, CA	10.1371/journal.pone.0200079
238	Prostate Cancer	Cancer initiation and develop.	cancer initiation and dev	 immunotherapy		n/a	PBMCs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Drug dev/testing	T-cell response, DNA profile	Low	Yes	Supportive	Proof of Concept	Low	No	2018	van de Ven, R	10.1080/2162402X.2018.1466766
239	Ovarian Cancer	Adoptive Cell Therapy	adoptive cell therapy			n/a	T cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Drug dev/testing	antigene affinity	Low	Yes	Direct	Proof of Concept	Medium	No	2018	Martin, SD	10.1080/2162402X.2017.1371895
240	Multiple Myeloma	Immunotherapy	immunotherapy			n/a	T cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	T-cell response, antigen HM1.24 	Low	Yes	Direct	Proof of Concept	Low	No	2015	Fichtner, S	10.1158/1078-0432.CCR-14-1618
241	Melanoma	Anti-Cancer Therapy	anti-cancer therapy			n/a	CTLs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Drug dev/testing	MAGE A11	Low	Yes	Supportive	Proof of Concept	Medium	No	2017	Zhang, JD	10.1097/CJI.0000000000000170
242	Non-Small Cell Lung Cancer	Cancer initiation and develop.	cancer initiation and dev	 immunotherapy		n/a	n/a	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor) Drug dev/testing	 PD-L1, clinical outcome correlation	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Jain, D	10.1111/cyt.12605
243	General	Virotherapy 	virotherapy 			n/a	B16-F10, BHK-21, CT-26	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	citotoxicity, citokines	Low	Yes	Supportive	Qualified externally	Low	No	2017	Durham, NM	10.1016/j.ymthe.2017.05.006
244	General	Immunotherapy	immunotherapy	 anti-cancer treatment		n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	least effective concentration and the half-life of the drug	Low	Yes	Direct	Proof of Concept	Low	Yes	2016	Pang, LY	10.1155/2016/6260474
245	Colorectal Cancer	Virotherapy 	virotherapy 			n/a	n/a	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease therapy dev Drug dev/testing	E2F-1, citotoxicity, CIK	Low	Yes	Supportive	Proof of Concept	Low	No	2014	Yan, Y	10.1007/s13277-013-1149-5
246	Leukaemia	Immunomodulation	immunomodulation			CIK, DC-CIK	 K562 and NB4	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity,  IL-35, TGF-beta and IL-10, Foxp3	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2014	Pan, Y	10.1371/journal.pone.0093591
