Model no.	Disease area	Disease feature	Category	Type	Application/ aim	Biological or disease-specific endpoint	Assay Throughput/ Content	Relevance	Potential/Future developments	DOI	Author name	Year
248	AD	Protein aggregation	Biochemical/cell-free assay	Peptides	Disease therapy developm	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	in vitro aggregation studies	screening of new therapeutic drugs (Ab-inhibitors)	http://dx.doi.org/10.1021/nn402310c	Choi	2013
249	AD	Protein aggregation	Biochemical/cell-free assay	Peptides	Model/method development - experim	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	improved yield of Ab peptides for fibrillation studies ( 4 mg/2days)	further need to remove the N-ter methionine residue, in order to obtain the native Aβ,  and further improve the peptide yield	http://dx.doi.org/10.1371/journal.pone.0161209	Hoarau	2016
250	AD	Protein aggregation	Biochemical/cell-free assay	Peptides	Model/method development - experim	Protein dysfunction: amyloid peptide (any version)	High (automatic)/medium	Relevant detection method as amino-terminally truncated Aβ peptides represent more than 60% of the Aβ species in AD brains: automated 96-capillary-based assay format for biomarker discovery and screening	Need for quantificaiton, optimisation of sample preparation protocol & detection conditions for biological samples with low levels or complex matrices as blood plasma	http://dx.doi.org/10.1021/ac401055y	Haubmann	2013
251	AD	Protein aggregation	Biochemical/cell-free assay	Proteins	Model/method development - experim	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	Method to measure rates of Aβ42 oligomerization and aggregation as a function of various parameters (e.g., concentration, presence of different ligands or proteins, and pH).	Future efforts needed in using MS site-specific ion activation to obtain information at the amino acid level, in order to probe in more detail the aggregation interface and the Cu2+ binding sites.	http://dx.doi.org/10.1073/pnas.1309175110	Zhang	2013
252	AD	Protein aggregation	Biochemical/cell-free assay	Proteins	Model/method development - experim	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	Strategy that offers many analytical details with flexibility in adopting many components within a brain-mimicking environment 	New platform for the mechanistic and structural studies of Aβ aggregate-related diseases and drug screening assays for AD.	http://dx.doi.org/10.1002/smll.201303242	Lee	2014
253	AD	Protein aggregation	Biochemical/cell-free assay	Proteins	Model/method development - experim	Protein dysfunction: BACE1	High (automatic)/low	HTS assay at relevant conditions for BACE-1 activity	Future identification and characterization of small-molecule inhibitors of BACE-1 for the treatment of AD	http://dx.doi.org/10.1177/1087057112462237	Saric	2013
254	AD	Protein aggregation	Biochemical/cell-free assay	Peptides	Model/method development - experim	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	Simulation of cellular environment to evaluate protein aggregation	Multiple future potentials: gaining insight into the mechanism of disease propagation of various protein aggregation related diseases, screening of various potential drugs as well as other biological events in a system close to cell environments	http://dx.doi.org/10.1039/c3cc41287c	Saha	2013
255	Several NDD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: non-neuronal, non CNS	Drug developm/ testing	Protein dysfunction: Tau (phosphorylation)	High (automatic)/low	Immortalised non neuronal cell model to screen components for effect on Tau aggregation (restricted disease relevance)	Drug screening for inbibitors of Tau aggregation	10.1007/978-1-4939-6598-4_22	Lim	2017
256	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	to disease: tau phosphorylation central disease feature; to animal replacement: eaier method for purification of human brain tissue samples (brain tissue access perhaps still limitation?)	Additional steps could be employed to isolate a pure, homogenous sample of aggregated protein.	10.3791/55835	Diner	2017
257	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	to disease: highly relevant disease feature and could pave path for biomarker/diagnostics, but so far, no in vivo validation; for animal replacement: compounds developed to detect Ab aggregates in human material (biodistribution was evaluated in normal mice)	The identified compounds can be further radiolabeled by C-11, F-18 or I-123, which may be developed into potential useful amyloid imaging agents for PET/SPECT detecting Aβ plaques in the brain of AD	10.4155/fmc-2017-0079	Gan	2017
258	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Disease therapy developm	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	to disease: relevent endpoint, but limited samples and measurements	This proof of concept paves the way for further and more comprehensive studies on nanoparticle therapeutics in AD	10.1016/j.neuint2017.02.012	Conti	2017
259	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Disease therapy developm	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	to disease: in contrast to the blood work, done on samples from AD patients, the CSF results were obtained in control subjects only	This proof of concept paves the way for further and more comprehensive studies on nanoparticle therapeutics in AD	10.1016/j.neuint2017.02.012	Conti	2017
260	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Changed protein expression	Low-medium/high	to disease: highly relevant; to animal replacement: method can be applied to both animal and human archived tissue	not commented on	10.1007/978-1-4939-7558-7_18	Drummond	2018
261	AD	Neuronal loss	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Changed protein expression	Low-medium/medium	for disease: new way to study relevant extracted tissue for disease; for animal replacement: method can be applied to human and non human tissue	SWATH is a relatively new technique that has room for improvement. With improved, user-friendly data processing software, SWATH analysis will become a useful tool for studying scarce samples such as human brain. Proteins identified in this study have potential as disease markers and drug targets.	10.1016/j.neuint.2015.04.004	Chang	2015
262	AD	Neuronal loss	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Diagnosis of disease	Changed protein expression	Low-medium/low	to disease: limited, very specific analysis for particular protein	The results indicate a role for Neurogranin as a potential novel clinical biomarker for synaptic function in AD	10.1186/s13195-015-0124-3	Kvartsberg	2015
263	AD	Neuronal loss	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Diagnosis of disease	Changed protein expression	Low-medium/low	to disease: limited, very specific analysis for particular protein	The results indicate a role for Neurogranin as a potential novel clinical biomarker for synaptic function in AD	10.1186/s13195-015-0124-3	Kvartsberg	2015
264	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	to disease: peripheral blood relevant model in terms of biomarker development	This study shows the existence of Aβ binding RBCs in peripheral blood, and in addition, new modified morphologies of RBCs triggered by Aβ binding. All of those can serve as a biomarker for the diagnosis and progression of AD	10.1093/ageing/afv009	Lan	2015
265	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Other	Low-medium/low	for disease: very specific for lipids, so limited in terms of disease model; for animal replacement: not unique application for human	new(?) application of exisitng methods, no specifications on potential or future developments	10.1371/journal.pone.0121356	Oikawa	2015
266	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	For animal replacement: the extent to which the soluble Aβ aggregates present in the human brain is similar to or different from the aggregates present in animal models of AD-like pathology is entirely unknown, but critical for the field of therapeutic development	The authors anticipate that the method presented here for extracting, isolating, and purifying soluble Aβ aggregates will facilitate many additional investigations of the properties of these aggregates. One of the major long-term goals of this line of investigation is to discover the distinguishing structural characteristics of the most relevant forms of soluble Aβ aggregates from the human brain. [more technically: the concentrations of soluble Aβ aggregates measured with this method may be underestimates, based on several technical limitation (see study)]	10.1038/srep38187	Esparza	2016
267	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: unclear, more for mechanistic study?; for animal replacement: can be applied to both CSF from human or non human origin	not specified	10.1016/j.brainres.2016.09.022	Padayachee	2016
268	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: unclear, more for mechanistic study?; for animal replacement: can be applied to both CSF from human or non human origin	not specified	10.1016/j.brainres.2016.09.022	Padayachee	2016
269	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: highly relevant pathology, this is a method - not model; for animal replacement: method can be applied to human or nonhuman samples	PS-OCT may be a useful tool for three-dimensional imaging of amyloidosis based on intrinsic polarization properties	10.1038/srep43477	Baumann	2017
270	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Protein dysfunction: multiple	Low-medium/medium	for disease: relevant to look at pathology in spinal cord tissue, though not primary site of tissue loss; for animal replacement: methods can be applied to both animal and human samples	not specified	10.2147/NDT.S90735	Guo	2016
271	AD	Energy metabolism	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Diagnosis of disease	Oxidative/nitrosative stress	Low-medium/low	for disease: link of OxPin1 to AD not very specific, but measure for one disease feature (ie oxidative stress); for animal replacement: ELISA can be applied to samples from any origin	Further development and modification of the assay design will enable multi-functional use for the quantification of oxidised proteins in tissues and biological fluids that may be used in investigating the role of oxidised proteins in a range of neurodegenerative diseases, particularly in which disease-specific protein oxidation has been implicated 	10.1016/j.bbacli.2015.04.004	Herbert	2015
272	PD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Protein dysfunction: Lewy bodies	Low-medium/low	for disease: relevant pathology to study; nor animal-replacement: method can be used on tissue of all sources	According to the authors, the FTIRM measurement technique, which has already been established, is likely to be useful as a tool for neuropathology analysis.	10.1038/srep17625	Araki	2015
273	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Protein dysfunction: PSEN	Low-medium/low	for disease: studies abeta processing (central to disease) and the effect of clinical mutations; for animal-replacement: method can be applied to tissue from any source	not specified	10.1084/jem.20150892	Szaruga	2015
274	AD	Neuroinflammation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Inflammation	Low-medium/medium	for disease: studies cytokine profile and its relation to neurodegeneration; for animal-replacement: method can be applied to tissue from any source	not specified	10.1038/srep16622	Wood	2015
275	Several NDD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Diagnosis of disease	MicroRNA changes	Low-medium/medium	for disease: the auhors say the results provide evidence for the potential value of these CSF biomarkers for the diagnosis and assessment of heterogeneous disease progression in PD	The authors note it would be important to study the origin of exosomes in CSF of PD and AD patients. Currently, there are no proven mechanisms by which exosomes trigger intercellular communication in the process of neurodegeneration.	10.18632/oncotarget.6158	Gui	2015
276	PD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Disease mechanism (exp/theor)	Oxidative/nitrosative stress	Low-medium/low	for disease: very specific measure for oxidative stress via one protein, therefore in reviewer's opinion, limited relevance compared to other methods listed; for animal replacement: there are pharmacological implications because, based on data obtained in murine models, the administration of ceruloplasmin has been proposed as potential therapeutic treatment of PD, however, the observed CSF's pro-oxidant properties raise the possibility that in human the ceruloplasmin-based therapeutic approach might not be efficacious 	administration of ceruloplasmin has been proposed as potential therapeutic treatment of PD, however, the observed CSF's pro-oxidant properties raise the possibility that in human the ceruloplasmin-based therapeutic approach might not be efficacious 	10.1186/s13024-015-0055-2	Barbariga	2015
277	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: new ligands for Abeta detection; for animal replacement: can be used independent of source (developed for and tested in human tissue)	The results demonstrate the potential for appropriately designed NHC ligands to be incorporated into diagnostic imaging agents for AD. The cationic compounds prepared in this work may also be suited to imaging amyloid in the cardiovascular system	10.1039/c6cc10066j	Chan	2017
278	Several NDD	Neuroinflammation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Model/method development - experim	Inflammation	Low-medium/high	for disease: relevant, though not specific to a specific neurodegenerative disease; for animal replacement:  a new and reliable tool for mechanistic studies of human microglia function in health from childhood to old age, and in disease, enhancing the relevance of the findings to the human brain and neurodegenerative conditions (Note: the majority of studies on microglia function have not only used cells from rodent brain, but have used microglia cultured from embryonic brains. The method described here may also allow culturing of microglia from adult rodent brain to high passage so that studies concentrating on rodent microglia function are rendered relevant to processes in operation in the adult brain)	The method will allow testing of drugs that can regulate microglial functions and provide high quantities of microglial RNA and protein for transcriptomic and proteomic studies	10.3233/JAD-160394	Guo	2016
279	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	for disease: diagnostic relevance to be determined	With further clinical validation, this assay may provide a novel, non-invasive means for the early detection of AD	10.1016/j.cca.2014.12.016	Madasamy	2015
280	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	for disease: relevant to look at early stages of tau pathology	not specified	10.3389/fnins.2015.00033	Flores-Rodriguez	2015
281	AD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Diagnosis of disease	Multiple biological endpoints	Low-medium/low	for disease: CSF biomarkers could be promising for the early and accurate prediction of underlying AD neuropathology	not specified; authors do point to to influence of biological and technical factors in levels of suspended Abeta	10.1002/acn3.160	Hu	2015
282	AD	Energy metabolism	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Disease mechanism (exp/theor)	Other	Low-medium/low	for disease: not specific disease model, but method to look into associations between the insulin resistance of type 2 diabetes and increased incidence of AD; for animal replacement: method used is specific for enrichment of human endosomes (antibodies are anti-human) epidemiologic studies	not specified (limitation specified: "At this point, however, it is not possible to resolve exosomes of the CNS from those of other neural sources in plasma.")	10.1096/fj.14-262048	Kapogiannis	2015
283	AD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Changed protein expression	Low-medium/low	for disease: relevant to look at specific subset of proteins involved in disease; though not specific at all for AD itself; animal replacement: method is not species specific "We have also applied these methods for studying the mechanisms of amyloid plaques-induced neurodegeneration in an AD mouse model"	biomaker development: "the CPE-DML-nanoLC-MS/MS approach as conducted in this study can be seen as a powerful tool to gain a bigger cohort of promising biomarker candidates that would not be detectable at all with established protocols."	10.1007/s00216-014-8320-8	Musunuri	2015
284	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: comparing in vitro vs human brain - relevant info on value of different models	not specified	10.18632/oncotarget.2819	Xiao	2015
285	AD	Protein aggregation	Biochemical/cell-free assay	Oligomers	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: comparing in vitro vs human brain - relevant info on value of different models	not specified	10.18632/oncotarget.2819	Xiao	2015
286	AD	Protein aggregation	Biochemical/cell-free assay	CSF	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: peptide detection; for now not automatic, but could be in the future	This opens the door for production of hand-held devices for facile and high-throughput probing of Aβ peptides in CSF samples based on lab-on-chip electrokinetic separation	10.1039/c5an01179e	Thanh Duc Mai	2015
287	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	for disease: peptide detection; for now not automatic, but could be in the future	This opens the door for production of hand-held devices for facile and high-throughput probing of Aβ peptides in CSF samples based on lab-on-chip electrokinetic separation	10.1039/c5an01179e	Thanh Duc Mai	2015
288	AD	Neuroinflammation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Activation of microglia	Low-medium/low	for disease: not a model, method for detection of a specific potassium channel	A better understanding of microglial potassium channel regulation and expression patterns in neurodegenerative states could also yield targets for drug development using potassium channel blockers 	10.3233/JAD-141704	Rangaraju	2015
289	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Peptides	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: relevant detection tool for Abeta peptides in CSF; for animal replacement: validated in human CSF sample	The miniaturization solves the first bottleneck of the development of a diagnostic tool, by demonstrating the possibility to separate these peptides in a microchip still with a high resolution. The sensitivity of detection of this method is not yet sufficient for the  direct detection of Ab peptides in CSF, as a preconcentration factor of at least 200 is needed. 	10.1039/c4an01296h	Mesbah	2014
290	AD	Cholinergic dysfunction/degeneration	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Cholinergic signalling/esterases	Low-medium/low	for disease: interaction of two disease features: abeta peptides and ChAT; for animal-replacement: for now in vitro, not suitble for biological human fluids (yet)	the reported ChAT assay is currently not compatible with tissue homogenates or other biological samples containing large amount of thiol-compounds as they are interacting with the assay’s detecting agent CPM 	10.3389/fnmol.2018.00327	Kumar	2018
291	AD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/high	for disease: These slice cultures may represent a preferred model for translational studies of neurodegenerative disorders when long term culturing is not required; for animal replacement: high relevance; slices from human tissue instead of animal	Studies on the feasibility of using these slice cultures to model other age-associated neurodegenerative diseases, such as Parkinson Disease, should now be pursued.	10.1016/j.jneumeth.2018.05.021	Mendes	2018
292	Several NDD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: quite exploratory focusing on different pathologies	Curcumin might be an interesting candidate for in-vivo diagnostics in AD like retinal fluorescent imaging	10.1186/s40478-018-0577-2	den Haan	2018
293	AD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Disease mechanism (exp/theor)	Changed protein expression	Low-medium/medium	for disease: exploratory study method	not specified	10.1186/s13195-018-0397-4	Dayon	2018
294	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Disease therapy developm	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: evaluate effect of nanospheres and nanorods on Abeta fibrillation	the acceleration of Aβ fibrillation process through corona-coasted nanoparticles can be a therapeutic strategy to inhibit/prevent overproduction of Aβ oligomers	10.1021/acschemneuro.8b00076	Lotfabadi	2018
295	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Disease therapy developm	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: evaluate effect of nanospheres and nanorods on Abeta fibrillation	the acceleration of Aβ fibrillation process through corona-coasted nanoparticles can be a therapeutic strategy to inhibit/prevent overproduction of Aβ oligomers	10.1021/acschemneuro.8b00076	Lotfabadi	2018
296	AD	Cognitive functional problems	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Impaired synaptic/vesicular function, transport or morphology	Low-medium/medium	for disease: the transentorhinal cortex (TEC) is one of the first affected areas; for animal replacement: method not species specific	not specified	10.1186/s40478-018-0520-6	Dominguez-Alvaro	2018
297	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Diagnosis of disease	Changed gene expression	Low-medium/medium	For animal replacement: would be very good if results in non-invase diagnostic from blood	TRPC6 mRNA levels in the periphery blood cells of AD and MCI patients are specifically reduced and its value as a biomarker in early AD diagnosis deserves further validation	10.1038/mp.2017.136	Lu	2018
298	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Diagnosis of disease	Protein dysfunction: BACE1	Low-medium/low	for animal replacement: non-invase biomarker development for human blood samples	plasma BACE1 activity may be a biomarker for AD risk and could predict progression from prodromal to probable AD dementia 	10.1016/j.biopsych.2017.02.007	Shen	2018
299	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	for disease: relevant to improve sensitivity of detection	the ultrasensitive detection of Aβ peptide based biomarkers of AD in CSF without recourse to any immunocapture or immunoaffinity 	10.1021/acs.analchem.7b03843	de lassichere	2018
300	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: relevant to improve sensitivity of detection of Abeta; for animal replacement: developed for ex vivo and in vitro detection	The technique enables the field to demonstrate whether Ab42, Ab40, and Ab38 have similar or different kinetic rates under healthy and diseased states. This information may lead to improved diagnostic testing and more precise pharmacodynamics of proposed disease-modifying treatments.	10.1016/j.ab.2013.04.031	Mawuenyega	2013
301	AD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Disease mechanism (exp/theor)	DNA damage	Low-medium/medium	for disease: focus on DNA damage detected in blood; relevance remains to be determined	the alterations found in peripheral lymphocytes of AD patients showed that these cells may somewhat reveal some peculiar systemic characteristics of the disease, encouraging further investigation to search for biomarkers present in lymphocytes that might characterize the disease and may provide useful future clinical applications	10.3390/ijms140612380	Leandro	2013
302	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Diagnosis of disease	Multiple biological endpoints	Low-medium/low	for disease: biomarker; for animal replacement: model developed for clinical use (memory clinic)	the model can serve as a first step in the implementation of CSF biomarker analysis in diagnosing dementia due to AD in the memory clinic population suspected of dementia 	10.1016/j.jalz.2012.01.010	Spies	2013
303	AD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Diagnosis of disease	Oxidative/nitrosative stress	Low-medium/low	for disease: differential diagnosis between AD, MCI and normal pressure hydrocephalus; for animal replacement: assay developed for clinical use	a larger prospective study of the diagnostic use of quantitation of oxidative TTR isoforms in patients presenting with symptoms of dementia together with standard biomarkers is warranted and that more simple rapid methods, e.g. based on immunochemical   reagents specific for the nonmodified Cys-10 epitope should be developed	10.1186/1559-0275-11-12	Poulsen	2014
304	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Disease therapy developm	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: in vitro Abeta, needs validation; for animal replacement: selection of human antibody instead of mouse or camelid	Future studies should focus on demonstrating antibody activity for recognizing natural species of amyloid peptides from clinical specimens or Alzheimer's disease mouse brain	10.3969/j.issn.1673-5374.2013.33.004	Yuan	2013
305	AD	Neuronal loss	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Disease therapy developm	Multiple biological endpoints	Low-medium/low	for disease: in vitro testing and modelling using ex vivo material	This conceptually new strategy to clear the cerebral deposits using a conjugated polymer allows us to conclusively proclaim that the aggregated Ab peptide brils present in the CSF could be successfully disrupted, modied into non toxic forms and prevented from aggregating again under physiological conditions.	10.1039/c3py00680h	Muthuraj	2013
306	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	for disease: paired helical fragements central feature of pathology; for animal replacement: source of human material for mechanistic/biochem studies	not specified	10.1021/bi400442d	Qureshi	2013
307	AD	Energy metabolism	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Oxidative/nitrosative stress	Low-medium/low	for disease: oxidative damage one of the earliest signs of AD; for animal replacement: human ex vivo source material for mitochondrial studies	not specified	10.1016/j.neurobiolaging.2014.01.004	Canugovi	2014
308	AD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Impaired synaptic/vesicular function, transport or morphology	Low-medium/low	for animal replacement: the introduction of sensitive proteomic technologies such as this one facilitate the use of autopsy tissues in neurobiology	the approach used here can create new avenues of exploration into the aetiology and consequences of many different neurological disorders	10.1016/j.jneumeth.2014.02.016	Chang	2014
309	AD	Neuroinflammation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Changed gene expression	Low-medium/low	for disease: limited, antibody focus specifically on GFAP	not specified	10.1016/j.neurobiolaging.2013.09.035	Kamphuis	2014
310	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	In addition to the potential role of Abeta oligomers to diagnose AD, their response to therapeutic agents targeting Abeta is of interest. If oligomers are the most relevant AD target, it will be critical to assess their pharmacodynamic behavior in clinical trials.	with 80% sensitivity and 88% specificityto detect AD, the assay has reasonable discriminatory power for AD and could potential be used as a diagnostic marker 	10.1523/JNEUROSCI.1675-13.2014	Savage	2014
311	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	In addition to the potential role of Abeta oligomers to diagnose AD, their response to therapeutic agents targeting Abeta is of interest. If oligomers are the most relevant AD target, it will be critical to assess their pharmacodynamic behavior in clinical trials.	with 80% sensitivity and 88% specificityto detect AD, the assay has reasonable discriminatory power for AD and could potential be used as a diagnostic marker 	10.1523/JNEUROSCI.1675-13.2014	Savage	2014
312	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: very specific aspect of Abeta	More work is needed so that the cause-and-effect sequence of the Aβ aggregated events with amino acid racemization and isomerization will be investigated using this assay 	10.1021/ac403315h	Inoue	2014
313	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Diagnosis of disease	Protein dysfunction: multiple	Low-medium/low	for disease: diagnostic model based on 3 biomarkers; for animal replacement: human-specific	This new scale could be used to facilitate the interpretation and routine use of multivariate CSF data and to stratify patients in clinical research trials	10.1186/alzrt267	Lehmann	2014
