Model #	Disease Area	Disease Feature	Category	Type	Application	Application Sub-Category	Biological Endpoints	Throughput	Relevance	Status	Year	First Author Name	DOI	
229	Heart Valve Diseases 	Mitral Valve	in vitro without cells	NA	Disease therapy development	Surgical and/or interventional planning	Mitral valve regurgitation	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Loor G. 	10.1016/j.athoracsur.2015.12.070	
230	Heart Failure 	NA	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	Electromechanical model of cardiac resynchronisation  	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Lumens J.	10.1161/CIRCIMAGING.115.003744	
231	Cardiomyopathies 	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Arrhythmogenic right ventricular cardiomyopathy iPSC study	Medium / Low (Lab scale)	Supportive	Under validation	2013	Ma D.	10.1093/eurheartj/ehs226	
232	Aneurysm	Cerebral	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Aneurysm stent repair	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Ma D.	10.3174/ajnr.A3933	
233	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	MV FSI characterisation	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Ma X.	10.1016/j.compfluid.2012.10.025	
234	Heart Valve Diseases 	Mitral Valve	in vitro with cells	3D culture	Disease mechanism (exp/theor)	Disease mechanism and progression	Strain regulation on mitral valve regurgitation	Not relevant (e.g. in silico)	Predictive	Under validation	2019	Maeda K.	10.1016/j.athoracsur.2018.08.084	
235	Heart Failure 	NA	in silico	others (including analytical models, cell population dynamics etc.)	Diagnosis of disease	Treatment strategies evaluation	LVAD fluidodynamic evaluation	Not relevant (e.g. in silico)	Predictive	Under development 	2014	Mahmood M.N.	10.5301/ijao.5000366	
236	Heart Valve Diseases 	Aortic Valve	in vitro with cells	2D culture 	Diagnosis of disease	Disease mechanism and progression	Aortic calcification	Medium / Low (Lab scale)	Predictive	Under validation	2014	Mahmut A.	10.1016/j.jacc.2013.05.105	
237	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Disease etiology and risk factors	Aortic calcification	Not relevant (e.g. in silico)	Direct	Standardised 	2014	Maleki H.	10.1007/s11517-013-1113-y	
238	Cardiomyopathies 	NA	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	DCM Fluidynamic characterisation	Medium / Low (Lab scale)	Supportive	Under development 	2013	Mangual J.O.	10.1016/j.jbiomech.2013.04.012	
239	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Prediction of post-intervention outcomes	Paravalvular leak	Not relevant (e.g. in silico)	Direct	Standardised 	2018	Mao W.	10.1115/1.4040457	
240	Occlusive Disease 	Veins	in silico	others (including analytical models, cell population dynamics etc.)	Diagnosis of disease	Disease etiology and risk factors	Venous system abnormalities in central nervous system	High (Automated)	Predictive	Under validation	2015	Marcotti S.	10.1186/s12883-015-0352-y	
241	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Detection of trigger mechanism in familial atrial fibrillation	Medium / Low (Lab scale)	Unknown	Under development 	2017	Marczenke M.	10.3389/fphys.2017.00469	
242	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Surgical and/or interventional planning	Complex aortic diseases	Medium / Low (Lab scale)	Supportive	Optimisation	2018	Marone E.M.	10.23736/S0021-9509.18.10324-7	
243	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Surgical and/or interventional planning	Single ventricle physiology and coronary aneurysms caused by Kawasaki disease	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Marsden A.L.	10.1063/1.4825031	
244	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Disease therapy development	Prosthesis effectiveness evaluation	Transcatheter aortic valve implantation	Not relevant (e.g. in silico)	Supportive	Optimisation	2017	Martin C.	10.1007/s10439-016-1738-8	
245	Aneurysm	Cerebral	in vitro without cells	NA	Disease therapy development	Device effectiveness evaluation	Intra-stent thrombi	Not relevant (e.g. in silico)	Supportive	Under development 	2019	Martínez-Galdámez M.	10.1177/1591019918808466	
246	Aneurysm	Cerebral	in vitro without cells	NA	Disease therapy development	Device effectiveness evaluation	Aneurysm clipping repair	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Mashiko T.	10.1016/j.jsurg.2016.12.010	
247	Heart Valve Diseases 	Aortic Valve	in vitro with cells	3D culture	Disease therapy development	Prosthesis development	Aortic calcification	Not relevant (e.g. in silico)	Direct	Under validation	2014	Masoumi N.	10.1016/j.biomaterials.2014.04.039	
248	Cardiomyopathies 	NA	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	ARMC electromechanical characterisation 	Medium / Low (Lab scale)	Supportive	Under development 	2016	Mast T.P.	10.1016/j.jacc.2016.08.061	
249	Cardiomyopathies 	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Hypertrophic cardiomyopathy troponin study	Medium / Low (Lab scale)	Supportive	Under development 	2017	Matyushenko A.M.	10.1021/acs.biochem.6b00994	
250	Myocardia Ischemia	NA	in silico	others (including analytical models, cell population dynamics etc.)	Disease mechanism (exp/theor)	Disease mechanism and progression	Myocardial ischemia/reperfusion injury	Medium / Low (Lab scale)	Supportive	Under validation	2017	McDougal A.D.	10.1074/jbc.M116.751826	
251	Arrhythmias	Arrhythmias, Cardiac	in silico	others (including analytical models, cell population dynamics etc.)	Disease mechanism (exp/theor)	Disease mechanism and progression	Determination of mechanisms by which atrial fibrosis contributes to atrial fibrillation	Not relevant (e.g. in silico)	Predictive	Under development 	2013	McDowell K.S.	10.1016/j.bpj.2013.05.025	
252	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Cerebral aneurysm	Not relevant (e.g. in silico)	Predictive	Under development 	2014	McGah P.M.	10.1007/s10439-013-0930-3	
253	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease therapy development	Treatment strategies evaluation	Shortening of  QT duration	Medium / Low (Lab scale)	Supportive	Under validation	2018	Mehta A.	10.1093/eurheartj/ehx394	
254	Occlusive Disease 	Veins	in vitro without cells	NA	Diagnosis of disease	Treatment strategies evaluation	Vein of Galen malformation 	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Meila D.	10.1136/neurintsurg-2016-012568	
255	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Understanding of the molecular basis of antiarrhythmics	Medium / Low (Lab scale)	Predictive	Under development 	2015	Melgari D.	10.1016/j.yjmcc.2015.06.021	
256	Myocardia Ischemia	NA	in vitro with cells	3D culture	Disease therapy development	Diagnosis of diseases	Heart Failure	Not relevant (e.g. in silico)	Supportive	Under validation	2015	Menasché P.	10.1093/eurheartj/ehv189	
257	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Surgical and/or interventional planning	Aortic coarctation	Not relevant (e.g. in silico)	Predictive	Under validation	2017	Mirzaee H.	10.1002/jmri.25366	
258	Myocardia Ischemia	NA	in vitro with cells	3D culture	Disease therapy development	Prediction of post-intervention outcomes	Coronary stent hemocompatibility 	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Mohan C.C.	10.1016/j.actbio.2013.08.023	
259	Aneurysm	Cerebral	in silico	FEM	Diagnosis of disease	Disease mechanism and progression	Aneurysm rupture	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Mohd Adib M.A.H.	10.1007/s11517-017-1617-y	
260	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in silico	FEM	Diagnosis of disease	Surgical and/or interventional planning	Inter atrial wall intervention	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Morais P.	10.1002/mp.12559	
261	Arrhythmias	Arrhythmias, Cardiac	in silico	others (including analytical models, cell population dynamics etc.)	Disease therapy development	Treatment strategies evaluation	Identification of therapeutic strategies for  arrhythmia-provoking situations	Not relevant (e.g. in silico)	Predictive	Under development 	2013	Moreno J.D.	10.1161/CIRCRESAHA.113.301971	
262	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease therapy development	Surgical and/or interventional planning	Neochord effectiveness evaluation	Not relevant (e.g. in silico)	Predictive	Under development 	2016	Morgan A.E.	10.1016/j.jss.2016.07.011	
263	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Stent procedure for coronary bifurcation	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Morlacchi S. 	10.1016/j.medengphy.2013.01.007	
264	Myocardia Ischemia	NA	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Coronary restenosis	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Morris P.D.	10.1002/ccd.27640	
265	Occlusive Disease 	Peripheral vessel	in vitro without cells	NA	Disease therapy development	Device effectiveness evaluation	Stent fracture in paripheral artery disease  	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Morrison J.W.	10.1583/13-4530MR.1	
266	Heart Valve Diseases 	Tricuspid Valve	in vitro without cells	NA	Disease therapy development	Surgical and/or interventional planning	TV surgical evaluation	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Muraru D.	10.1093/ehjci/jew215	
267	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease mechanism (exp/theor)	Prediction of device effects	Left coronary circulation	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Mynard J.P.	10.1152/ajpheart.00603.2013	
268	Aneurysm	Cerebral	in vitro without cells	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Aneurysm rupture	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Nam S.-W.	10.1016/j.jbiomech.2014.11.018	
269	Heart Failure 	NA	in silico	FEM	Disease therapy development	Prediction of device effects	LVAD fluidodynamic evaluation	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Nammakie E.	10.1007/s11517-016-1523-8	
270	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Diagnosis of diseases	Severe aortic stenosis 	Not relevant (e.g. in silico)	Direct	Standardised 	2018	Nappi F.	10.1155/2018/1346308	
271	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Prediction of device effects	Thoracic aorta aneurysm	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Nauta F.J.H.	10.1136/bmjopen-2016-012270	
272	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Prediction of post-intervention outcomes	Aortic thrombosis	Not relevant (e.g. in silico)	Predictive	Under development 	2017	Nauta F.J.H.	10.1016/j.athoracsur.2016.09.067	
273	Occlusive Disease 	Carotid	in silico	FEM	Disease therapy development	Prediction of device effects	Cannulation effects on cerebral perfusion	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Neidlin M.	10.1007/s10439-014-1064-y	
274	Aneurysm	Aorta	ex vivo	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Abdominal aortic aneurysm	Medium / Low (Lab scale)	Predictive	Under validation	2016	Niestrawska J.A.	10.1098/rsif.2016.0620	
275	Cardiovascular Abnormalities including CCD 	NA	in silico	FEM	Diagnosis of disease	Treatment strategies evaluation	Coronary arteries plaque	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Nikolić D.	10.1016/j.cmpb.2014.07.012	
276	Myocardia Ischemia	NA	in silico	FEM	Diagnosis of disease	Diagnosis of diseases	Coronary disease	High (Automated)	Direct	Optimisation	2014	Nørgaard B.L.	10.1016/j.jacc.2013.11.043	
277	Aneurysm	Aorta	in silico	FEM	Diagnosis of disease	Disease etiology and risk factors	Aneurysm hemodynamics	Not relevant (e.g. in silico)	Predictive	Under development 	2016	Numata S.	10.1093/ejcts/ezv459	
278	Cardiomyopathies 	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Hypertrophic cardiomyopathy iPSC study	Medium / Low (Lab scale)	Supportive	Under development 	2016	Ojala M.	10.1155/2016/1684792	
279	Myocardia Ischemia	NA	in vitro with cells	3D culture	Diagnosis of disease	Prediction of post-intervention outcomes	Scaffold implant complications	Not relevant (e.g. in silico)	Predictive	Under validation	2017	Ortega-Paz L. 	10.4244/EIJ-D-16-00974	
280	Arrhythmias	Arrhythmias, Cardiac	in silico	others (including analytical models, cell population dynamics etc.)	Disease therapy development	Disease mechanism and progression	Understanding  of the behavior of long QT forms which can induce arrhythmias	Medium / Low (Lab scale)	Unknown	Under development 	2018	Paci M.	10.3390/ijms19113583	
281	Heart Valve Diseases 	Mitral Valve	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Neochord effectiveness evaluation	Medium / Low (Lab scale)	Predictive	Under development 	2013	Padala M.	10.1016/j.athoracsur.2012.09.055	
282	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	3D culture	Disease therapy development	Treatment strategies evaluation	Understanding of the molecular basis of inherited arrhythmia	Medium / Low (Lab scale)	Predictive	Optimisation	2018	Pahlavan S.	10.1096/fj.201700494RR	
283	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Diagnosis of disease	Surgical and/or interventional planning	Aortic regurgitation	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Palau-Caballero G.	10.1016/j.echo.2016.07.015	
284	Heart Valve Diseases 	Pulmonary Valve	in silico	others (including analytical models, cell population dynamics etc.)	Disease mechanism (exp/theor)	Disease mechanism and progression	Right ventricular failure	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Palau-Caballero G.	10.1152/ajpheart.00596.2016	
285	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in silico	FEM	Diagnosis of disease	Treatment strategies evaluation	Atrioventricular valve regurgitation	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Pant S.	10.1109/TBME.2018.2797999	
286	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease therapy development	Prediction of post-intervention outcomes	Annuloplasty	Not relevant (e.g. in silico)	Predictive	Under development 	2017	Pantoja J.L.	10.1016/j.athoracsur.2016.07.021	
287	Myocardia Ischemia	NA	in silico	FEM	Diagnosis of disease	Diagnosis of diseases	Coronary lesions	High (Automated)	Supportive	Optimisation	2014	Papafaklis M.I.	10.4244/EIJY14M07_01	
288	Aneurysm	Coronary	in vitro without cells	NA	Diagnosis of disease	Treatment strategies evaluation	Coronary artery anomalies	Not relevant (e.g. in silico)	Supportive	Under validation	2018	Parimi M.	10.1007/s00246-017-1799-y	
289	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro with cells	3D culture	Disease therapy development	Treatment strategies evaluation	Marfan syndrome	Medium / Low (Lab scale)	Supportive	Under development 	2017	Park J.W.	10.7150/ijbs.19517	
290	Aneurysm	Aorta	in vitro without cells	NA	Disease therapy development	Device effectiveness evaluation	Thoracic endovascular aortic repair	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Pasta S.	10.1177/1526602815611888	
291	Heart Failure 	NA	in vitro with cells	3D culture	Disease therapy development	Treatment strategies evaluation	Extracellular ventricular model	Not relevant (e.g. in silico)	Supportive	Under validation	2015	Patel N.M.	10.1097/MAT.0000000000000158	
292	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Treatment strategies evaluation	Atherosclerotic lesion formation	Medium / Low (Lab scale)	Predictive	Under validation	2014	Patibandla P.K.	10.1021/ac503294p	
293	Arrhythmias	Arrhythmias, Cardiac	in silico	others (including analytical models, cell population dynamics etc.)	Disease therapy development	Treatment strategies evaluation	Ablation of Atrial Fibrillation	Not relevant (e.g. in silico)	Predictive	Under development 	2015	Pérez J.J.	10.1111/jce.12630	
294	Aneurysm	Aorta	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Aneurysm stent repair	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Perrin D.	10.1016/j.jbiomech.2015.04.031	
295	Occlusive Disease 	Veins	in silico	FEM	Disease therapy development	Prediction of device effects	Failure mechanisms of Peripheral intravenous catheters	Not relevant (e.g. in silico)	Predictive	Under development 	2018	Piper R.	10.1038/s41598-018-21617-1	
296	Heart Failure 	NA	in silico	FEM	Diagnosis of disease	Treatment strategies evaluation	Cardiac resynchronisation outcomes prediction	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Pluijmert M.	10.15420/aer.2015.4.1.62	
297	Aneurysm	Aorta	in silico	FEM	Disease therapy development	Device effectiveness evaluation	Thrombus formation	Medium / Low (Lab scale)	Supportive	Under validation	2015	Polanczyk A.	10.1016/j.jbiomech.2014.12.033	
298	Heart Valve Diseases 	Tricuspid Valve	in silico	FEM	Disease therapy development	Prosthesis development	TV prosthesis design	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Pott D.	10.1111/aor.12605	
299	Cardiomyopathies 	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Gene therapy of hypertrophic cardiomyopathy effectiveness evaluation	Medium / Low (Lab scale)	Supportive	Under development 	2017	Prondzynski M.	10.1016/j.omtn.2017.05.008	
300	Myocardia Ischemia	NA	in vitro with cells	3D culture	Disease therapy development	Treatment strategies evaluation	Myocardial infarction repair	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Puig-Sanvicens V.A.C.	10.1016/j.diff.2015.11.002	
301	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease therapy development	Treatment strategies evaluation	Detection of drug-induced arrhythmia and  assessment of preclinical cardiac toxicity	Medium / Low (Lab scale)	Supportive	Under validation	2015	Qu Y.	10.1093/toxsci/kfv128	
302	Aneurysm	Aorta	in vitro without cells	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Marfan syndrome	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Querzoli G.	10.1016/j.jbiomech.2014.06.025	
303	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	MV fluidynamics characterisation	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Rabbah J.-P.	10.1007/s10439-012-0651-z	
304	Occlusive Disease 	Carotid	in vitro without cells	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Carotid atherosclerotic plaque	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Ramnarine K.V.	10.1016/j.ultrasmedbio.2013.09.014	
305	Heart Failure 	NA	in vitro with cells	2D culture 	Diagnosis of disease	Disease etiology and risk factors	Platelet proteome modification in heart failure patients	Medium / Low (Lab scale)	Predictive	Under development 	2016	Raphael R.	10.1186/s12967-016-0774-3	
306	Arrhythmias	Arrhythmias, Cardiac	in silico	FEM	Disease mechanism (exp/theor)	Treatment strategies evaluation	Understanding of the mechanisms for atrial fibrillation termination	Not relevant (e.g. in silico)	Predictive	Under validation	2015	Rappel W.-J.	10.1161/CIRCEP.115.002956	
307	Heart Valve Diseases 	Pulmonary Valve	in silico	others (including analytical models, cell population dynamics etc.)	Disease therapy development	Prosthesis development	Congenital pulmonary valve malformation	Not relevant (e.g. in silico)	Supportive	Under development 	2019	Rasmussen R.	10.1186/s13019-019-0830-1	
308	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease therapy development	Surgical and/or interventional planning	Annuloplasty	Not relevant (e.g. in silico)	Predictive	Under development 	2017	Rausch M.K.	10.1002/cnm.2788	
309	Myocardia Ischemia	NA	in vitro with cells	3D culture	Disease therapy development	Treatment strategies evaluation	Myocardial infarction	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Ravichandran R.	10.1002/mabi.201200391	
310	Occlusive Disease 	Veins	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Surgical procedure for uperior sinus venosus atrial septal defect  and partial anomalous pulmonary venous drainage	Not relevant (e.g. in silico)	Predictive	Under development 	2018	Riahi M.	10.4244/EIJ-D-18-00304	
311	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease therapy development	Surgical and/or interventional planning	MV kinetics characterisation	Not relevant (e.g. in silico)	Predictive	Under development 	2013	Rim Y.	10.1016/j.jbiomech.2013.01.014	
312	Heart Valve Diseases 	Pulmonary Valve	in silico	others (including analytical models, cell population dynamics etc.)	Disease mechanism (exp/theor)	Disease etiology and risk factors	Tissue remodeling of native heart valves	Not relevant (e.g. in silico)	Supportive	Optimisation	2018	Ristori T.	10.1016/j.actbio.2018.08.040	
313	Arrhythmias	Arrhythmias, Cardiac	in silico	others (including analytical models, cell population dynamics etc.)	Diagnosis of disease	Disease mechanism and progression	Identification of atrial regions responsible for AF perpetuation	Not relevant (e.g. in silico)	Unknown	Under validation	2014	Rodrigo M.	10.1016/j.hrthm.2014.05.013	
314	Aneurysm	Cerebral	in vitro without cells	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Aneurysm rupture	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Roloff C.	10.1016/j.ijheatfluidflow.2013.06.006	
315	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device development	Transcatheter aortic valve replacement	Medium / Low (Lab scale)	Direct	Under development 	2019	Rotman O.M.	10.1007/s10439-018-02119-7	
316	Aneurysm	Aorta	in silico	FEM	Disease therapy development	Device development	Aneurysm stent repair	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Roy D.	10.1002/cnm.2769	
317	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Device development	Graft failure in Peripheral Vascular Disease and Coronary Artery Disease	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Ruiz-Soler A.	10.1038/s41598-017-01930-x	
318	Arrhythmias	Arrhythmias, Cardiac	in silico	others (including analytical models, cell population dynamics etc.)	Disease therapy development	Disease etiology and risk factors	Prediction of arrhythmia risk induced by drugs	Not relevant (e.g. in silico)	Predictive	Optimisation	2018	Sahli Costabal F.	10.1002/cnm.2964	
319	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease mechanism (exp/theor)	Treatment strategies evaluation	Stenosis of right coronary artery	Not relevant (e.g. in silico)	Predictive	Under development 	2013	Sakellarios A.I.	10.1152/ajpheart.00539.2012	
320	Heart Valve Diseases 	Aortic Valve	in vitro with cells	2D culture 	Diagnosis of disease	Disease mechanism and progression	Aortic calcification	Medium / Low (Lab scale)	Predictive	Under validation	2018	Schlotter F.   	10.1161/CIRCULATIONAHA.117.032291	
321	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in vitro without cells	NA	Disease therapy development	Surgical and/or interventional planning	Cardiac surgery and interventional planning	Medium / Low (Lab scale)	Supportive	Under development 	2014	Schmauss D. 	10.1093/ejcts/ezu310	
322	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Diagnosis of disease	Prediction of post-intervention outcomes	Intracranial aneurysms 	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Schneiders J.J.	10.3174/ajnr.A3179	
323	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Device effectiveness evaluation	Calcium displacement	Not relevant (e.g. in silico)	Predictive	Under development 	2016	Schultz C.	10.4244/EIJV11I9A212	
324	Aneurysm	Aorta	in vitro without cells	NA	Disease therapy development	Prediction of device effects	Aneurysm endovascular repair	Medium / Low (Lab scale)	Supportive	Under validation	2018	Schuurmann R.C.L.	10.1177/1526602818764413	
325	Cardiovascular Surgical and interventional Procedures	Reperfusion	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Myocardial ischemia/reperfusion injury	Medium / Low (Lab scale)	Predictive	Optimisation	2019	Sebastião M.J.	10.1186/s13287-019-1174-4	
326	Cardiovascular Abnormalities including CCD 	NA	in silico	FEM	Diagnosis of disease	Disease mechanism and progression	Aortic coarctation	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Segers P.	10.1097/HJH.0000000000000449	
327	Myocardia Ischemia	NA	in vitro without cells	NA	Disease therapy development	Prediction of post-intervention outcomes	Coronary stent therapy	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Seidlitz A.	10.1016/j.ejpb.2015.04.016	
328	Heart Failure 	NA	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	LVAD fluidodynamic evaluation	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Sénage T.	10.1097/MAT.0000000000000045	
329	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Prediction of device effects	Coronary artery aneurysms	Not relevant (e.g. in silico)	Predictive	Under development 	2014	Sengupta D.	10.1007/s10237-014-0570-z	
330	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Diagnosis of disease	Prediction of post-intervention outcomes	Abdominal aortic aneurysm	Not relevant (e.g. in silico)	Predictive	Under development 	2015	Shang E.K.	10.1016/j.jvs.2013.08.032	
331	Cardiovascular Abnormalities including CCD 	NA	in vitro without cells	NA	Disease mechanism (exp/theor)	Diagnosis of diseases	Congenital heart disease	High (Automated)	Predictive	Under development 	2018	Shanshen E. 	10.1007/s00246-017-1741-3	 
332	Heart Valve Diseases 	Mitral Valve	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Mitral valve myofibroblastic activation evaluation	Medium / Low (Lab scale)	Predictive	Under validation	2015	Shapero K.	10.1016/j.yjmcc.2015.01.006	
333	Heart Failure 	NA	in silico	others (including analytical models, cell population dynamics etc.)	Disease therapy development	Treatment strategies evaluation	Antiplatelet drugs efficacy with LVAD	Not relevant (e.g. in silico)	Predictive	Under development 	2014	Sheriff J.	10.1007/s11239-013-0997-6	
334	Occlusive Disease 	Carotid	in silico	FEM	Disease mechanism (exp/theor)	Disease etiology and risk factors	Risk of stroke	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Sia S.F.	10.1016/j.powtec.2018.07.091	
335	Heart Failure 	NA	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Lead position effect on cardiac resynchronisation	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Siciliano M.	10.1093/europace/euw331	
336	Heart Valve Diseases 	Mitral Valve	in vitro without cells	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Mitral valve regurgitation	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Siefert A.W.	10.1016/j.athoracsur.2012.11.039	
337	Heart Valve Diseases 	Aortic Valve	in vitro without cells	NA	Disease therapy development	Disease mechanism and progression	Aortic valve replacement	Not relevant (e.g. in silico)	Supportive	Under validation	2015	Sierad L.N.	10.1089/ten.tec.2015.0170	
338	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Diagnosis of diseases	Aortic valve dynamics	Not relevant (e.g. in silico)	Direct	Standardised 	2018	Sigüenza J.	10.1002/cnm.2945	
339	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device development	Aortic valve failure	Medium / Low (Lab scale)	Supportive	Optimisation	2016	Simonato M. 	10.4244/EIJV12I7A149	
340	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Marfan aorta	Not relevant (e.g. in silico)	Predictive	Optimisation	2016	Singh S.D.	10.1016/j.jbiomech.2015.11.040	
